,Patent,Pharma Chemicals,welfare
USA,0.01,0.01,18.750167288357716
EUR,0.01,0.01,21.085714162336274
JAP,0.01,0.01,20.825770886822625
CHN,12.0,0.01,24.351465293344972
BRA,12.0,0.01,26.757711998420703
IND,12.0,12.0,33.46467644287145
CAN,0.01,0.01,26.057984787640564
KOR,0.01,0.01,25.35058741169817
RUS,12.0,0.01,26.98881866688771
MEX,12.0,0.01,27.117334833635454
ZAF,12.0,0.01,27.670422421839746
ROW,12.0,0.01,25.327877949802286
Negishi,,,23.713874483286574
Equal,,,27.488555162625076
