country_code,output,expenditure,deficit,gdp,labor,price_level,rnd_gdp
1,24419876.308776002,25213692.357379,-793816.0486029983,0.0,200387285.0,,
2,31159800.567724,31168125.929691,-8325.36196700111,17.0,388541543.0,,
3,8166511.121187,8121079.954663,45431.166523999535,0.0,83351772.0,,
4,7446681.260141,7247220.324977,199460.9351639999,0.0,949961080.0,,
5,1994733.222577,1966995.6327769998,27737.58980000019,2.0,126631537.0,,
6,1812328.690724,1854029.639211,-41700.94848699984,0.0,732180068.0,,
7,2339993.688658,2306010.7831,33982.90555799985,0.0,22624574.0,,
8,2274992.089065,2269919.704659,5072.38440599991,0.0,34777751.0,,
9,1838708.562545,1717772.0194490002,120936.54309599986,0.0,101685150.0,,
10,1524429.9558010001,1541831.461145,-17401.505343999946,0.0,13785404.0,,
11,1666038.238318,1678565.001645,-12526.763326999964,0.0,66933497.0,,
12,746112.722096,730444.6606899999,15668.061406000052,5.0,152230961.0,,
13,11429080.739333,11003599.697558999,425481.041774001,51780102663331.0,1416656677.0,,
