origin_code,destination_code,patent flows
1,1,207867.0
1,2,79801.0
1,3,23811.0
1,4,18073.0
1,5,6153.0
1,6,8048.0
1,7,39903.0
2,1,71325.0
2,2,145691.0
2,3,23131.0
2,4,20404.0
2,5,4944.0
2,6,6519.0
2,7,34640.0
3,1,71994.0
3,2,37860.0
3,3,367960.0
3,4,30976.0
3,5,745.0
3,6,1555.0
3,7,18930.0
4,1,2127.0
4,2,1108.0
4,3,397.0
4,4,93485.0
4,5,195.0
4,6,224.0
4,7,554.0
5,1,295.0
5,2,265.0
5,3,59.0
5,4,61.0
5,5,4054.0
5,6,55.0
5,7,133.0
6,1,1463.0
6,2,951.0
6,3,154.0
6,4,198.0
6,5,74.0
6,6,4721.0
6,7,475.0
7,1,35662.0
7,2,23305.0
7,3,11565.0
7,4,10202.0
7,5,2472.0
7,6,3259.0
7,7,61577.0
