,eta_china,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ROW
1,0.0141717094580252,0.010000000000002035,0.01,0.01,0.010000255326184539,11.999999744673788,11.99999999999999,0.010000255326164886,0.01,4.881130938144659,0.5237244969900652,10.953070167859515
2,0.008635209798792851,0.010000054650036602,0.0100000399033841,0.010000051722185398,0.010000040672426465,11.629499941375478,11.99999995678552,0.01,0.01,5.689718717206494,0.052992548742748884,11.959786329457529
3,0.005866959969176675,0.01,0.01,0.01,0.01,11.999999799541072,11.999999975016616,0.01,0.010000088853212966,11.316074334000842,0.03185043771033848,11.999999977819744
4,0.004482835054368588,0.010000046715035476,0.010000000648016438,0.01,11.900737561580273,4.146215541439961,11.999999945469071,0.010000002508815772,0.010000049707851762,2.3861174419498288,0.010000047272519803,8.264608948071402
5,0.005174897511772632,0.01,0.01,0.01,12.0,8.255825501525829,12.0,0.01,0.01,2.1232441124456294,0.01,8.404727177591734
6,0.005520928740474653,0.01,0.01,0.01,4.648992125703486,5.240644274326223,12.0,0.01,0.01,2.040446667475536,0.01,7.507586949092194
7,0.005693944354825665,0.010000054594369005,0.01,0.01,0.010000055980440114,10.662373015008225,11.929720588184328,0.01,0.01,7.502175641150559,0.031141595543478822,9.069317826979878
8,0.005607436547650159,0.010000013866292966,0.010000042819123086,0.01,0.1764589741248965,2.259185816485539,11.999999995467427,0.010000043956084417,0.010000033902420618,3.487210551019787,0.010000004361105135,11.999999981027917
9,0.0056506904512379115,0.01,0.01,0.01,0.01,12.0,12.0,0.01,0.01,3.293635153343492,0.030933640105367425,10.355301622820525
10,0.005629063499444035,0.010000002393931921,0.01,0.010000053093294539,0.01,11.299600270578837,11.999999923297311,0.01,0.01000005373181051,5.3069229048426605,0.03078284790678804,11.999999977474682
11,0.0056182500235470965,0.01,0.01,0.01,0.01,6.43977335234943,12.0,0.01,0.01,3.5115453366284375,0.03082114831636206,12.0
12,0.005612843285598627,0.01000009770681272,0.010000096137839644,0.010000088483662493,0.01000005722278878,5.889965308549318,12.0,0.010000034553835756,0.01000008453072612,3.609793168657996,0.030547367956288273,11.999999998785048
