,eta_MEX,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ROW
1,0.0810269591529801,0.010000647745902444,12.0,0.01,12.0,12.0,12.0,0.01,5.782039531001865,12.0,0.01,7.072059584931086
2,0.04094471220260025,0.01,6.484635060462094,0.01,12.0,5.3941216091982644,8.060355239926471,0.01,0.01,5.057426132677275,0.01,7.530259018277864
3,0.020903588727410324,0.010001224335059495,8.161656198464323,0.01,6.622054929361405,7.792039774795641,11.999998131735651,0.01,0.01,7.771748680963894,0.01,3.5695917193202558
4,0.010883026989815362,0.01000011927505938,0.010000058719406566,0.01,12.0,4.509490327162106,6.582134875544799,0.010000069257132913,0.010000145764882805,4.230283404906052,0.010000116898375494,6.2566749128354004
5,0.005872746121017881,0.01000011018572586,0.010000113019622302,0.010000105052109947,11.33592983268533,5.21997131890166,8.006367659653638,0.01000010766208006,0.010000002174982417,4.275362503647688,0.0996579375563268,8.966434315169067
6,0.0033676056866191405,0.010000000054632788,0.010000000102863662,0.010000460732932034,11.999999541541344,5.804248252836228,8.953546273832329,0.010000458861813086,0.01,4.837085207240449,1.9233947208172197,4.417465955162355
7,0.004620175903818511,0.01,0.01,0.01,11.999999911182158,11.033483325725276,11.999999356070646,0.01,0.01,9.016514613006947,1.500966489453601,3.483575673983925
8,0.005246461012418196,0.01,0.01,0.01,8.840578975434179,3.2833804965973545,5.0464747794165605,0.010000334143366011,0.01,2.8510541882811102,0.23199549405170056,4.318068334329209
9,0.005559603566718039,0.010000434791391923,0.010000434791391923,0.010000434791391923,12.0,10.020295071591082,4.929008902985218,0.01,0.010000434791391923,10.41165160841348,0.15368359515341296,3.8529154654389464
10,0.005403032289568117,0.01,0.01,0.01,11.99669953661446,4.332022957198128,6.534330614988873,0.01,0.01,3.662776718298636,0.18680282747118268,2.9720651682600367
