,eta_IND,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ROW
1,0.06750746669383595,0.01,9.874348286549505,3.6886271456003787,12.0,7.916681601877447,0.01,4.161692461034104,4.233655670569833,8.561922830266477,6.98945380863704,8.597966619906757
2,0.034098094601695675,0.01,7.079545157637156,0.01,11.060347609367923,5.555223789958696,0.01,0.01,0.01,5.76620828387238,4.493077181173872,4.171725971278919
3,0.017393408555625538,0.01,4.644925877366907,0.01,9.649440700554159,4.0484059874404865,0.01,0.01,0.01,3.688711193824983,2.5879367990259206,5.121618192278233
4,0.00904106553259047,0.01,0.01,0.01,10.292664262754668,5.1645809778641825,0.01,0.01,0.01,4.399862014689722,2.0546933169101895,4.676431385023303
5,0.004864894021072935,0.01,0.01,0.01,11.073424120566939,12.0,11.999999999911822,0.01,0.01,12.0,7.586983191670147,3.3403440614093163
6,0.006952979776831702,0.01,0.01,0.01,12.0,5.656946926518941,1.8470536157165653,0.01,0.01,4.801232145556561,2.868132232420729,1.87572006792374
7,0.007997022654711085,0.01,0.01,0.01,5.125068403895194,2.209129808124672,0.01,0.01,0.01,2.1059592890670253,1.4995938875653487,2.1937331613119193
8,0.007475001215771394,0.01,0.01,0.01,11.999847361497084,10.55481372720239,0.36866770758913736,0.01,0.01,9.11033358700733,5.515210128731308,4.657721173420382
9,0.00773601193524124,0.01,0.01,0.01,11.998860788509363,4.955130969165276,0.2657929606932598,0.01,0.01,4.327999094085212,2.674880389671824,1.9291896407828444
10,0.007866517294976162,0.01,0.01,0.01,7.940482282553253,3.254225676710177,0.2344620340341499,0.01,0.01,2.96600652127911,2.0361070526493,6.859210839347501
11,0.0078012646151087005,0.01,0.01,0.01,9.718768727532087,4.192988275432333,0.2489986096357463,0.01,0.01,3.7700046815189507,2.5436280362430934,4.791488564857266
12,0.00776863827517497,0.01,0.01,0.01,11.996934308833413,11.99974984517152,0.2793905845902882,0.01,0.01,12.0,7.360533426549849,4.387609517148819
13,0.007784951445141835,0.01,0.01,0.01,7.443162523260007,5.04479430732066,0.25918103514279345,0.01,0.01,4.410892160785014,2.6772669980329034,6.772842790400841
14,0.007793108030125268,0.01,0.01,0.01,12.0,5.74437894866248,0.20744152910467714,0.01,0.01,5.0292478259039965,3.1230915431548434,2.1468483734129604
