,eta_RUS,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ROW
1,0.08114134406218365,0.010000773361754044,0.010000658547624572,0.010000675410036014,11.99999999940696,9.740483109751095,11.999999961948813,0.010000695671941512,0.010000726694352676,0.010000660422846072,3.080531986376003,12.0
2,0.041116289566405576,0.01,0.01,0.01,10.69316504011468,11.999999711342014,11.638528768852458,0.01,0.01,0.01,0.18779984369523364,11.387120448655585
3,0.021103762318516538,0.01,0.01,0.01,4.998194984111301,11.517545079625965,6.92879055738222,0.01,0.01,0.01,0.05482720735476212,11.983965464776073
4,0.011097498694572019,0.01,0.01,0.010000247455582669,11.999999759182428,10.86487370870496,6.465489607853571,0.010000242724661969,0.01,0.01,0.01,4.997807279150717
5,0.006094366882599759,0.01,0.01,0.01,12.0,6.962098626958294,12.0,0.01,0.01,0.01,0.01,8.191544993377663
6,0.0035928009766136295,0.01,0.01,0.01,11.380991696803143,4.12578949392881,12.0,0.01,0.01,0.01,0.01,8.207845279396555
7,0.0023420180236205647,0.01,0.01,0.01,12.0,9.120439762927207,12.0,0.01,0.01,0.23967502842411587,0.01,8.86172936266946
8,0.0017166265471240325,0.01,0.01,0.01,11.293224738396068,6.2426615263294085,5.4911612263026885,0.01,0.01,1.998184282839446,0.01,12.0
9,0.0020293222853722988,0.01,0.01,0.01,12.0,8.154771237956906,12.0,0.01,0.01,1.2784166996504724,0.01,7.732370578678438
10,0.002185670154496432,0.010000036966367887,0.01,0.010000855262759938,8.855314775993385,9.484531120697449,11.810907271889462,0.010000847908290467,0.010000468103044887,0.8732125803522198,0.010000795011024967,9.243010016298713
11,0.0022638440890584985,0.01,0.01,0.01,8.285423554811281,2.654989680488711,11.972699318028086,0.01,0.01,0.2759219708322948,0.01,4.670269101327761
12,0.0023029310563395314,0.010000325157931764,0.010000325162451518,0.01,11.999999674839238,11.99999999098641,12.0,0.010000325163748144,0.01000032515852237,0.28854815445239695,0.010000325155461178,11.999999990985936
13,0.0023224745399800482,0.01,0.01,0.01,9.222541237795307,9.492514827034444,8.315969378575994,0.01,0.01,0.24750982260877635,0.01,9.188255136776005
14,0.00231270279815979,0.01,0.01,0.01,5.526810577015804,3.075870103664053,9.395643938179937,0.010000002390946906,0.010000403869497663,0.2493093265417102,0.01,9.924464817051376
