country_code,country,fee
1,USA,21281.887903783118
2,EUR,40040.15008092939
3,JAP,38174.80700576718
4,CHN,23476.372304682638
5,BRA,35328.58192248807
6,IND,19133.51135230624
7,ROW,156105.77118601542
