,delta dom,delta int
USA,0.0972800426937454,0.0972800426937454
EUR,0.0806731744735958,0.0806731744735958
JAP,0.0834304165077312,0.0834304165077312
CHN,0.087369376987722,0.087369376987722
BRA,0.1676720204847282,0.1676720204847282
IND,0.2428354235263451,0.2428354235263451
CAN,0.0659458722711855,0.0659458722711855
KOR,0.0527567945831453,0.0527567945831453
RUS,0.2176572720470862,0.2176572720470862
MEX,0.1936222227249946,0.1936222227249946
ZAF,0.1648800057004353,0.1648800057004353
ROW,1.4927781385243564,1.4927781385243564
count,12.0,12.0
mean,0.24557506337708926,0.24557506337708926
std,0.39789578310601,0.39789578310601
min,0.0527567945831453,0.0527567945831453
25%,0.08274110599919735,0.08274110599919735
50%,0.13108002419709036,0.13108002419709036
75%,0.19963098505551752,0.19963098505551752
max,1.4927781385243564,1.4927781385243564
