,delta_dom,delta_int,welfare
USA,0.01,0.01,3.3738058303151917
EUR,0.01,0.01,3.0006486023039116
JAP,0.01,0.01,3.8470144221684563
CHN,12.0,12.0,8.830631678121833
BRA,12.0,12.0,7.464496743830381
IND,12.0,12.0,7.248214773611551
CAN,0.01,0.01,4.427524549312565
KOR,0.01,0.01,4.617546470507477
RUS,12.0,12.0,7.615594954354336
MEX,0.01,0.01,2.478673488469724
ZAF,12.0,12.0,7.519227529625482
ROW,12.0,12.0,7.415660312817991
Negishi,,,5.43056234792823
Equal,,,7.399169861940209
