,Non patent,Patent
USA,166951.97476128698,41360.612116756034
EUR,48943.12020376222,6078.733066915873
JAP,139271.10160832445,10433.329765186969
CHN,1643.1552645902375,2243.792471846986
BRA,2371.7698018158244,305.6455648069926
IND,322.25076488256616,18.486751597115425
CAN,440541.4668702978,269.10295987496323
KOR,97883.6531296798,7209.551803221169
RUS,9437.073455099444,1395.4802652599951
MEX,2330.891378913368,2542.337449774021
ZAF,2315.682818343906,430.7638642906928
ROW,511.3069758662504,114.65103146283784
count,12.0,12.0
mean,76043.6205860719,6033.540592582803
std,129347.9387205761,11620.71122002727
min,322.25076488256616,18.486751597115425
25%,2147.550929905489,296.5099135739853
50%,5904.421628457634,1819.6363685534905
75%,108230.51524934097,6361.437750992197
max,440541.4668702978,41360.612116756034
