,delta_dom,delta_int,welfare
USA,0.0473849254238293,12.0,0.05305066721557239
EUR,12.0,12.0,0.3253674643837883
JAP,12.0,12.0,-0.041665228954457234
CHN,12.0,12.0,0.0009667364433596504
BRA,12.0,12.0,-0.5944976142172465
IND,12.0,12.0,-0.8245441921059751
CAN,12.0,12.0,0.7400537105708622
KOR,12.0,12.0,0.9706490976035127
RUS,12.0,12.0,-0.9299985528394075
MEX,12.0,12.0,-0.7933024717778352
ZAF,12.0,12.0,-0.7884397886704875
ROW,12.0,12.0,-1.2610263911183495
Negishi,,,-0.2987902314239079
Equal,,,-0.8713618178782951
