,delta_dom,delta_int,welfare
USA,12.0,12.0,2.216250424075426
EUR,0.01,12.0,4.390362810957143
JAP,12.0,12.0,1.4915985047403382
CHN,12.0,12.0,1.732981664381498
BRA,12.0,12.0,10.166752275375629
IND,12.0,12.0,10.433297503704054
CAN,12.0,12.0,7.185996323298951
KOR,12.0,12.0,3.1942742188133764
RUS,12.0,12.0,-15.822259409955535
MEX,12.0,12.0,6.25127952135378
ZAF,12.0,12.0,9.484835073132672
ROW,12.0,12.0,8.626600111306445
Negishi,,,3.8328462083423602
Equal,,,7.325414848838818
