,delta_dom,delta_int,welfare
USA,12.0,12.0,2.4314797963999553
EUR,0.01,0.01,-3.736919294293571
JAP,12.0,12.0,1.534480004065088
CHN,12.0,12.0,3.7300204461027135
BRA,0.7342344010306132,12.0,8.745417983146808
IND,12.0,12.0,8.760597630020442
CAN,12.0,12.0,7.039375692592657
KOR,12.0,12.0,3.4361590247447396
RUS,0.5242470581211929,12.0,-4.328308517899217
MEX,0.3864897092367405,12.0,5.448830573728543
ZAF,0.3789413744910346,12.0,8.870535689271435
ROW,12.0,12.0,7.761128281712132
Negishi,,,2.577681893668043
Equal,,,6.886858614508711
