moments,weights
GPDIFF,1.0
GROWTH,5.0
KM,1.0
OUT,5.0
RD,10.0
RP,1.0
SRGDP,5.0
SINNOVPATUS,1.0
TO,5.0
SPFLOW,10.0
SDFLOW,1.0
UUPCOSTS,1.0
DOMPATINUS,1.0
TE,5.0
TEPHARMA,5.0
TECHEM,5.0
TOPHARMA,5.0
TOCHEM,5.0
RDPHARMA,5.5
RDCHEM,5.5
