country_code,country,fee
1,USA,15859.491466301435
2,EUR,36653.86740603205
3,JAP,28448.276237186918
4,CHN,17494.84481400941
5,BRA,26327.238732266407
6,IND,14258.498183252854
7,ROW,116331.69750531953
