,delta_dom,delta_int,welfare
USA,0.01,0.01,1.0105041140519404
EUR,0.01,0.01,1.8325611401271544
JAP,0.01,0.01,1.8312752501625766
CHN,0.01,12.0,8.632120646235421
BRA,0.01,12.0,8.139163694722114
IND,12.0,12.0,7.854703228430296
CAN,0.01,0.01,3.5497977397997573
KOR,0.01,0.01,3.550812531415005
RUS,0.01,12.0,8.01556629288089
MEX,0.01,0.01,1.4454720353081143
ZAF,0.01,12.0,8.001362546573489
ROW,12.0,12.0,7.5454071210493225
Negishi,,,5.084527696840269
Equal,,,7.515639445256397
