,delta_dom,delta_int,welfare
USA,0.01,0.01,-0.551983286884834
EUR,0.01,12.0,7.027825531301147
JAP,0.01,0.01,0.1890894304656996
CHN,0.01,12.0,7.0163226134342835
BRA,0.01,12.0,6.5709580736857305
IND,0.01,12.0,6.260217441025588
CAN,0.01,0.01,1.9141434548764096
KOR,0.01,0.01,1.5513511465008065
RUS,0.01,12.0,6.436562751725489
MEX,0.01,12.0,6.142317110729607
ZAF,0.01,12.0,6.417046637034758
ROW,0.01,12.0,5.813349886663261
Negishi,,,4.883235721439732
Equal,,,6.079657191808053
