,delta_dom,delta_int,welfare
USA,0.0473849254238293,12.0,0.05216319355423593
EUR,12.0,12.0,0.32465793178495517
JAP,12.0,12.0,-0.04228665473112869
CHN,12.0,12.0,-0.00018756149235343855
BRA,12.0,12.0,-0.5950410619961843
IND,12.0,12.0,-0.8243624874146604
CAN,12.0,12.0,0.7414476668631949
KOR,12.0,12.0,0.9694419057075834
RUS,12.0,12.0,-0.9302022379752941
MEX,12.0,12.0,-0.793360500684642
ZAF,12.0,12.0,-0.7881094546898169
ROW,12.0,12.0,-1.2610019148653464
Negishi,,,-0.3000264991246411
Equal,,,-0.8713078478625818
