,tariff_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
0,0.5,-2.5494354067880887e-05,-2.610150066306239e-05,-3.144758777672415e-05,-2.2809144013037123e-05,-2.3114469479441616e-05,-2.39608652741418e-05,-2.4841356474405687e-05,-3.2366041929440864e-05,-2.45986772831914e-05,-2.441330318472228e-05,0.0001272228497165,5.741176419209576e-05,1.7509598348462173e-06
1,0.52,-2.544805821743767e-05,-2.605376110040876e-05,-3.1387875992049165e-05,-2.277207958385908e-05,-2.3076538037895552e-05,-2.391927153262049e-05,-2.4797731542892587e-05,-3.230508142586254e-05,-2.455749761843435e-05,-2.4374273310980287e-05,0.0001270070807086,5.731318836100906e-05,1.7496836977399631e-06
2,0.54,-2.540184599797512e-05,-2.6006109793054217e-05,-3.13282761377271e-05,-2.273506871666839e-05,-2.303869390493772e-05,-2.3877829687215072e-05,-2.4754182493895908e-05,-3.224424416947307e-05,-2.4516395307236747e-05,-2.433530426705209e-05,0.0001267919933179,5.721487141892991e-05,1.7484534251335555e-06
3,0.56,-2.5355717766330408e-05,-2.5958547126965496e-05,-3.1268787696708166e-05,-2.2698111120169413e-05,-2.3000935529418785e-05,-2.383653714539425e-05,-2.4710709261874125e-05,-3.218352918443203e-05,-2.447537054622316e-05,-2.429639675932962e-05,0.0001265775865395,5.7116816730323055e-05,1.7472688422496062e-06
4,0.58,-2.530967298360658e-05,-2.591107245400978e-05,-3.120941111321824e-05,-2.2661206699691057e-05,-2.2963261389318983e-05,-2.379539101604873e-05,-2.4667311642920288e-05,-3.2122936274114867e-05,-2.4434422505200968e-05,-2.425755011783289e-05,0.0001263638599948,5.701902793638409e-05,1.7461302840781105e-06
5,0.6,-2.526371178816908e-05,-2.586368589070532e-05,-3.1150145629888626e-05,-2.262435552805724e-05,-2.292567039956204e-05,-2.375438883773029e-05,-2.462398981909417e-05,-3.206246472484723e-05,-2.43935515118778e-05,-2.421876440810343e-05,0.0001261508130864,5.692150825592994e-05,1.7450377069247211e-06
6,0.62,-2.5217833859592675e-05,-2.5816387138474088e-05,-3.109099147247345e-05,-2.2587557707221427e-05,-2.2888161096387307e-05,-2.37135277193296e-05,-2.4580743353452315e-05,-3.200211404870892e-05,-2.435275690355603e-05,-2.418003906211472e-05,0.0001259384445911,5.682426049996361e-05,1.7439910816598733e-06
7,0.64,-2.5172038964840867e-05,-2.576917605166825e-05,-3.103194842250099e-05,-2.255081265459233e-05,-2.285073173202089e-05,-2.367280485712605e-05,-2.453757190372232e-05,-3.194188315334124e-05,-2.431203870936525e-05,-2.41413738686774e-05,0.0001257267544796,5.672728813490332e-05,1.7429908306622572e-06
8,0.66,-2.512632689272429e-05,-2.5722052288015428e-05,-3.0973015882815154e-05,-2.251412096004365e-05,-2.2813381432575863e-05,-2.36322179644488e-05,-2.4494475535445707e-05,-3.1881772286345505e-05,-2.427139632486697e-05,-2.410276868214367e-05,0.0001255157415286,5.66305935348086e-05,1.7420368082840488e-06
9,0.6799999999999999,-2.5080697665090145e-05,-2.5675015840233223e-05,-3.091419431220659e-05,-2.2477481837077102e-05,-2.277610900374005e-05,-2.3591764026387887e-05,-2.4451454234057696e-05,-3.1821780122326505e-05,-2.423082998309772e-05,-2.406422329132417e-05,0.0001253054051117,5.653417967089506e-05,1.7411292475617665e-06
