,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,3.21334239394504e-13,0.0001944288651116723,0.0036711798944413037,3.902935330540971e-09,1.5400216677977482e-18,4.424120286202789e-20,2.0610060134225324e-10,1.394762787383341e-14,0.0005072890636859403,1.7588426888783976e-06,4.601536922052624e-20,8.887981693358897e-16,7.120355804696975e-15,3.0582053485778696e-19,2.8791603107873284e-09
1,-80,4.334913542989387e-16,8.362377547932265e-05,4.298866529197145e-14,2.7921568296993628e-11,1.1367640947404845e-14,5.7493812521869704e-18,3.4108691256046826e-16,2.7532136104209095e-06,0.0005485745999779293,4.6176109587067995e-08,2.43986635157246e-12,1.965672519147005e-09,1.1366920080976886e-11,1.9913068563589779e-16,3.8641884396252456e-09
2,-70,1.3454265986036544e-18,7.287638488612079e-06,8.521887931739669e-14,6.945940734526742e-11,1.314514763329597e-16,5.652262189949515e-16,4.470021053467781e-16,4.174726305906528e-08,0.00022840263952856953,5.112414970486782e-08,5.520251837491821e-14,1.3796557869663349e-08,1.360090096985304e-16,2.872854020162802e-13,1.2880496202065141e-11
3,-60,9.370580803176067e-18,3.0392888389992382e-18,5.944217684546626e-15,8.343058615307042e-13,1.5605507514775878e-12,1.546954172649786e-19,1.3366748652773485e-15,4.380547246306078e-08,2.4725442640073274e-05,8.557266069977363e-09,6.090199546457038e-12,9.82993459227501e-09,1.73994321222617e-11,5.730237522016864e-14,3.657422616513228e-14
4,-50,3.974599452314916e-15,1.1623941885446376e-18,1.0855972619636634e-13,5.951102513120557e-14,4.0201976879530273e-13,3.507652475291183e-10,1.4413929659013955e-18,7.216662619935403e-11,8.864512647086702e-14,9.109837663858151e-09,7.056672102150499e-16,4.7209267050232567e-11,1.2778230001883683e-15,2.0873997388691633e-18,2.9072833616411983e-14
5,-40,1.6387464235630154e-15,3.294771503370245e-15,9.163715377006562e-18,2.279118038954673e-14,7.549928363895034e-16,1.0247151566656185e-11,4.114643990182968e-16,1.6230576814447292e-09,5.987719283166315e-14,4.849841340230311e-19,3.966535354354757e-18,1.0921503634334156e-10,4.597222691925268e-12,3.2311738470794853e-21,1.4591740232614154e-14
6,-30,1.74452105295017e-16,3.7192879473916276e-14,3.783285978307314e-16,6.507787000084314e-14,1.6405613311905972e-14,4.531380661161842e-11,4.523791729137735e-16,6.405186335912414e-13,1.0278850617486904e-13,7.581532537956717e-13,1.0855467134003346e-18,1.8548305856257565e-16,1.0728645499586974e-19,4.1367009970328383e-16,7.797191637575428e-14
7,-20,1.238400401060613e-13,2.2098783544072466e-15,5.165325775988476e-16,7.517436884350379e-11,6.545329047301546e-15,1.7721753939224565e-08,3.652386074795099e-17,7.659530770398107e-21,1.907092174275941e-15,1.1405867012282802e-15,1.3507378566054665e-13,6.399535327336316e-15,9.546518720544374e-15,4.015213597747628e-14,3.3204260595982053e-19
8,-10,2.4015603269508897e-16,2.778840387055899e-13,1.2936130715480681e-15,5.174963157263805e-15,1.1008096921466562e-16,1.1232507696840109e-10,7.005221754695837e-15,7.498530806267151e-19,3.5086067911505357e-15,2.9857088685848005e-20,1.1987018745519025e-14,1.3622924825094129e-18,4.994142348636506e-12,2.3389471824272853e-13,1.0981768853199078e-16
9,0,1.4165010178603592e-15,1.650066948814518e-15,1.9982958177214892e-16,1.9982958177214892e-16,1.9982958177214892e-16,1.770648031200915e-14,5.238248998594658e-16,2.571476008524203e-16,1.9982958177214892e-16,4.502278958442406e-16,1.6130444869121318e-15,5.193059412520975e-12,5.7785398369980895e-15,2.9949705106320564e-15,1.9982958177214892e-16
10,10,3.7144742143469335e-17,9.082522799671663e-14,6.003148138222072e-19,1.2114092351353539e-19,7.619660567706166e-14,1.5876510616814242e-19,6.6593832349060766e-15,7.747754151936431e-14,3.714675566446608e-15,4.5475346149937e-18,1.4645458247286861e-15,8.552071842849277e-19,1.8571231387482746e-10,7.721263773462685e-14,3.669371057857922e-14
