,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,4.188703259899968e-05,2.4287989917040942e-06,1.9513615404595226e-07,9.09071883725234e-09,4.44449488300473e-05,1.1572638060471128e-07,4.177190216761841e-05,7.88257837047886e-05,0.0064003985132699,4.2106856199759556e-05,4.3340435001199234e-05,4.776183082905408e-05,4.1538991399477515e-05,4.251613444793698e-05,4.905378732171554e-05
1,-80,4.174762126682999e-05,1.4307205233338666e-05,4.976587355995685e-05,1.6165415434972357e-07,4.400292593680869e-05,2.115360678586154e-09,4.1641562808663636e-05,0.00014726412483234767,0.006238886339435441,4.480411996667636e-05,4.276823930063565e-05,4.392105803512159e-05,4.133400918707304e-05,4.2332354480336896e-05,4.537607659829959e-05
2,-70,4.1610419020245974e-05,4.429740977040938e-05,4.697879467344631e-05,1.1896311280518277e-06,4.356762893816996e-05,1.9995868629754975e-07,4.151047947091869e-05,3.605829216199026e-05,0.004940825385342199,4.625306792510379e-05,4.2428381399912915e-05,3.992479546885104e-05,4.121542323420522e-05,4.216072494450894e-05,4.752974704404735e-05
3,-60,4.1473568730806354e-05,5.392724716391456e-05,4.558973968435837e-05,3.575296142178321e-06,4.3138411437542326e-05,1.208268118970176e-06,4.13825221334391e-05,3.3428857989277226e-05,0.0036661078181034856,4.7890746142101864e-05,4.211490408252854e-05,3.395004446874569e-05,4.112124464914435e-05,4.19622289772258e-05,4.5419874810716475e-05
4,-50,4.1336208547425265e-05,4.853446882074612e-05,4.4549116725146973e-05,6.6381343123044744e-06,4.271294674855763e-05,3.0883061518100923e-06,4.125417825813372e-05,3.615758809276902e-05,0.0011262637247467346,5.2272600664495035e-05,4.176155726605012e-05,3.607935363550284e-05,4.10838701784742e-05,4.175447242836103e-05,4.368404430863521e-05
5,-40,4.120217399028071e-05,4.5599527024660534e-05,4.365546387267974e-05,1.1262178965234904e-05,4.229079744155626e-05,6.740371214912249e-06,4.113490412927716e-05,3.8142895636564745e-05,0.0004177337407514877,5.174456108181946e-05,4.1478461568480416e-05,3.9140497684469626e-05,4.092143142921428e-05,4.153650233295042e-05,4.282047448259686e-05
6,-30,4.1065715044771915e-05,4.369183230645416e-05,4.2841840545514734e-05,1.727398857319928e-05,4.183991639090019e-05,1.1760462246732962e-05,4.1015760299375405e-05,4.15901548601685e-05,0.00019932504671762693,4.7852215664539905e-05,4.1240916503208055e-05,4.096940701578379e-05,4.0874839311340814e-05,4.1318073920687645e-05,4.216815930072238e-05
7,-20,4.0933196639434624e-05,4.237585518750059e-05,4.208133653736583e-05,2.4354609172726566e-05,4.1466096144969006e-05,2.3081765768452434e-05,4.089596938781606e-05,4.123191990314018e-05,0.00010848321599331321,4.4958114705662604e-05,4.103262678430214e-05,4.0886647472290885e-05,4.079153011346381e-05,4.1097463255655085e-05,4.161944567479127e-05
8,-10,4.080206129485689e-05,4.1408932255197126e-05,4.135183669669847e-05,3.239870129564449e-05,4.106600239775226e-05,2.9730846242263057e-05,4.078369006385258e-05,4.0925755679524224e-05,6.437000670344044e-05,4.2635021721330105e-05,4.084249807393437e-05,4.078296184111314e-05,4.072105991520753e-05,4.0882302997672755e-05,4.112747687402047e-05
9,0,4.067037385153462e-05,4.0670739438283494e-05,4.0668193833521056e-05,4.0668193833521056e-05,4.0668193833521056e-05,4.067004744562568e-05,4.067021764871401e-05,4.066943790484487e-05,4.0668193833521056e-05,4.066874617338283e-05,4.0669886489073195e-05,4.0670479824332104e-05,4.0671320513753874e-05,4.0669504568418635e-05,4.0668193833521056e-05
10,10,4.054022174255848e-05,4.0086090492148065e-05,4.0007726969258505e-05,4.873242169441839e-05,4.02824511130002e-05,5.192861592995837e-05,4.056032547799959e-05,4.044746433020525e-05,2.696534052624569e-05,3.8793276426527785e-05,4.050770959764979e-05,4.055193966182829e-05,4.0627484597231154e-05,4.046165385097392e-05,4.023854314008091e-05
11,20,4.04088799758625e-05,3.9610481920089916e-05,3.936676667632687e-05,5.642283762101131e-05,3.99021843301262e-05,6.36858057813276e-05,4.0449286285407576e-05,4.024598348704984e-05,1.8580487620961043e-05,3.752404257379758e-05,4.0351937508879035e-05,4.043256439948638e-05,3.5921783693404805e-05,4.025880888919756e-05,3.9819093901956766e-05
12,30,4.028097429762087e-05,3.921228536773167e-05,3.875736119701084e-05,6.355712378306717e-05,3.952756661686545e-05,7.60965434095339e-05,4.034228978796483e-05,4.0061274548527455e-05,1.3212523776241522e-05,3.65932149499163e-05,4.0204846088479975e-05,4.0311607873799406e-05,3.572179054386797e-05,4.006159144627761e-05,3.9426591038459275e-05
13,40,4.015124340083489e-05,3.8870033485179316e-05,3.816343749122646e-05,7.003552730966318e-05,3.9155623203829586e-05,8.940406152475017e-05,4.02381733213178e-05,3.987908227684551e-05,9.644969004958267e-06,3.446113224984715e-05,4.0060672426670036e-05,4.018913492914781e-05,3.154371358143902e-05,3.9870319468924665e-05,3.904118167094627e-05
14,50,4.00248986822946e-05,3.857157866538644e-05,3.7587899199045814e-05,7.582655529751996e-05,3.87976290063416e-05,0.00010470590133003407,4.0129954511187295e-05,3.9722939886566074e-05,7.200324847040477e-06,3.207307505894754e-05,3.9920979022511705e-05,4.006202752670122e-05,3.959933521103989e-05,3.968551673176256e-05,3.853446634411442e-05
15,60,3.989804053808789e-05,3.8305338693455714e-05,3.7029579412407736e-05,8.094974387798566e-05,3.84454494916865e-05,0.0001254054307552748,4.002965772239222e-05,3.9570089357814024e-05,5.479603784755071e-06,3.220989507109129e-05,3.9783424612315064e-05,3.994169320099588e-05,3.7135123801489116e-05,3.9506136328221814e-05,3.8167808586310154e-05
16,70,3.977186843046256e-05,3.806513816576479e-05,3.6490554188148725e-05,8.543657149501762e-05,3.809754261944995e-05,0.0001401867052431146,3.992679935217641e-05,3.942298477722213e-05,4.2405260233064815e-06,3.079547273297636e-05,3.964908188881074e-05,3.9818995042251656e-05,2.7857491702425278e-05,3.9330214592864994e-05,3.7811785159868865e-05
17,80,3.964631542645146e-05,3.784588049601323e-05,3.59648869537974e-05,8.934795504735906e-05,3.7756150603107346e-05,0.00013842734083116274,3.982174243576947e-05,3.927630210408641e-05,3.3302895601234503e-06,2.946522120723205e-05,3.951461844523021e-05,3.969384154206499e-05,4.151278634325393e-05,3.9151745052969066e-05,3.7469948100093995e-05
18,90,3.952316778745847e-05,3.7642496956710595e-05,3.545670272705648e-05,9.274132450227696e-05,3.741948069366651e-05,0.00013921694882465942,3.972340349857948e-05,3.913647913131817e-05,2.6497693704279415e-06,2.821075608024029e-05,3.9382332019196e-05,3.95738318623742e-05,3.963265655895485e-05,3.899962582524573e-05,3.712541850272772e-05
