,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,0.000557389122261335,0.0582524970362082,0.0002456498849242278,2.0055722191709292e-07,0.0005914507498713599,1.464422656714367e-06,0.0005558556343420638,0.0008777781975755265,2.084515266453611e-06,0.0006400873982971993,0.0005828876032168654,0.0006236242125551138,0.000558345367413607,0.0005657867956411872,0.0006780155420061561
1,-80,0.0005555344026138682,0.04735203479688715,0.0006582882383389664,5.0187898491765785e-06,0.0005855839121192295,2.6935619061654342e-08,0.0005541157160862686,0.0015259365394493078,1.1014499620269991e-05,0.000642704857486452,0.0005730669070420975,0.0005682873432087365,0.0005555435351985038,0.000563353276256725,0.000630419258113514
2,-70,0.000553708679043395,0.03622031376835911,0.0006237583220151128,2.2124152052282488e-05,0.000579787268421857,2.5710136434933337e-06,0.0005523656804264481,0.0005416714916698454,0.00017026370340065202,0.000666812895219986,0.0005662899076161413,0.0005416142560004977,0.0005537049835197828,0.0005610721390695966,0.0006344134335098583
3,-60,0.0005518877797801257,0.01753545903613293,0.0006059837923291397,5.896216498287164e-05,0.0005740679367546332,1.5697006488407497e-05,0.0005506669322041497,0.0005248495289535262,0.000588313599918152,0.0006592754978034568,0.00056106194458955,0.0005096436476618066,0.0005521116532166788,0.0005584004358231808,0.0006025629880190205
4,-50,0.0005500604518975954,0.007733676940827659,0.0005924427481174794,0.00010630224713453866,0.000568397893997756,4.788121834445383e-05,0.000548963028424076,0.0005287737617847397,0.0006793055450870967,0.0006565055213574603,0.0005561037019173683,0.0005259602977665584,0.0005509013493727248,0.0005556354628585007,0.0005810981050853038
5,-40,0.0005482765541755167,0.003908292860045776,0.0005807067347769845,0.00017407657493386872,0.0005627730401730566,9.687563114669073e-05,0.000547373822230801,0.0005398991194665985,0.0006153565369586021,0.000660384652107334,0.0005521803857573683,0.0005382700971205826,0.0005482030743594458,0.0005527328566855036,0.0005697363276142359
6,-30,0.0005464605657644432,0.0021708251090022633,0.0005699728143852663,0.00025713163518753247,0.0005567965160327796,0.00017247776825623782,0.0005457875839187922,0.0005514090237214202,0.0005850926299585793,0.000620074751364728,0.000548927250034586,0.0005459448081687871,0.0005468520657992739,0.0005498208714453225,0.0005611036331717845
7,-20,0.0005446980672999263,0.0012960102317513,0.0005599099495963927,0.0003490391112688384,0.0005517914782684342,0.0003012470925336644,0.00054419343690259,0.0005475686686208685,0.000566036065307428,0.0005890860224859382,0.0005460911231207496,0.0005444894217117151,0.0005449024334359953,0.0005468834765620531,0.0005538164304994344
8,-10,0.0005429519830470772,0.0008186366120426246,0.000550245261329065,0.000446792686019031,0.0005464661285388938,0.0003966159079598336,0.0005427049355478706,0.0005441366594209573,0.0005521556693399935,0.0005634476286628755,0.0005435205861771578,0.0005428681239705319,0.0005429887464134733,0.0005440203687251072,0.0005472788664372455
9,0,0.0005411990465524252,0.0005412047274386509,0.0005411721684929256,0.0005411721684929256,0.0005411721684929256,0.0005411953771298901,0.0005411954475799799,0.0005411873029324475,0.0005411721684929256,0.0005411795429558252,0.0005411943781516424,0.0005412014573529653,0.0005412113958103325,0.0005411868097063632,0.0005411721684929256
10,10,0.0005394683638572058,0.00037144234835365705,0.0005324032843200332,0.000628006157353473,0.0005360375011291756,0.0006847134514959369,0.0005397413112825097,0.0005385710529376588,0.000532019285213214,0.0005196544439237094,0.0005390129567609789,0.0005394989975281239,0.0005394136740909891,0.0005384217937986589,0.0005354549685761419
11,20,0.0005377201783744732,0.00026304479865505305,0.0005238876393185846,0.0007062894083441598,0.0005309738899878468,0.0008300562800881706,0.0005382663548526109,0.0005361466479934039,0.0005240669097133763,0.0005049741002320077,0.000536930428886236,0.0005378132723099953,0.0005134906055072187,0.0005357264170814371,0.0005298790540626256
12,30,0.0005360161139828219,0.00019129162950605992,0.0005157854022585699,0.0007751719663654891,0.0005259888012590192,0.0009778723941823507,0.0005368452187053065,0.0005338915108802468,0.0005169582603588364,0.0004928469938446222,0.0005349520178431522,0.0005361353413410943,0.0005310314882418149,0.0005331021892977625,0.0005246520395767175
13,40,0.0005342921921227279,0.00014231016685666473,0.0005078905385916318,0.0008346724689880997,0.000521039788610236,0.0011294524750878239,0.0005354666535875045,0.0005316316312206032,0.0005104199706524786,0.0004767733596141976,0.0005330236756873228,0.0005344340019678903,0.00047766664051756956,0.0005305599473027011,0.0005195238491027412
14,50,0.0005326092808529994,0.0001079834166634559,0.0005002403206497712,0.0008854465834522322,0.0005162752491691065,0.0012948943666096012,0.0005340369820358323,0.0005296736792826165,0.0005043819028243174,0.00043949933819730457,0.000531152635945751,0.0005327053161208845,0.0005821412096536133,0.0005280991595806849,0.0005132397003954466
15,60,0.0005309233384333941,8.336240309585667e-05,0.0004928121539702818,0.0009283931294527426,0.0005115856955688857,0.0015044813084231974,0.0005327092616407112,0.0005277283065340142,0.0004986931260589634,0.0004390474966591284,0.0005293211740925884,0.0005310650901355605,0.0005991913479202194,0.0005257188399505743,0.0005083485384975509
16,70,0.000529242079523943,6.534319908666707e-05,0.000485642345187186,0.0009644027201006934,0.0005069558134824984,0.0009859057921924777,0.0005313451528204037,0.0005258639954822122,0.0004932963526665784,0.00042148997145592367,0.0005275228911958308,0.0005294001629196516,0.0004368147261641731,0.0005233824378815594,0.0005036038020745087
17,80,0.0005275726575725944,5.191791328008232e-05,0.00047864896113371285,0.000994504694620332,0.0005024138313194012,0.0009604307902998277,0.00052996363981609,0.0005239839731091729,0.0004881281715671216,0.00040481692913442826,0.0005257274868695646,0.0005277105324601441,0.0005322580465013831,0.0005210163555186342,0.0004990535034440371
