,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,1.2017862725990275e-07,4.517113929820768e-07,0.016209120286848296,1.2654635028919174e-07,1.2722162431543572e-07,1.9571261326994207e-07,1.1953849817668186e-07,3.834754469555775e-06,5.237508368047072e-07,2.971684544986783e-07,4.452182967020507e-08,1.661028678510728e-07,7.833985942023159e-08,1.0066928847772796e-07,7.378046027615175e-07
1,-80,1.1978398155122857e-07,6.727865303985663e-07,9.92128908265669e-05,1.4345113379541128e-07,1.260301120661044e-07,1.7528172611760386e-07,1.191702983769311e-07,1.0142126803699447e-05,8.649645322676591e-07,9.480692094623448e-08,6.545509339732192e-08,1.8222342218954517e-07,7.929077380017153e-08,1.0116049822365235e-07,5.82951732452288e-07
2,-70,1.1938366966673944e-07,1.0666623900596642e-06,1.7272290849863718e-05,2.716175300910444e-07,1.2485533019632603e-07,1.5430004561907616e-07,1.1882673793911761e-07,9.64031045418129e-08,1.1926226840548544e-06,9.596728628694699e-08,8.38851857056473e-08,1.4756475687896548e-07,8.128352132885128e-08,1.0226420414495538e-07,4.81760266906299e-07
3,-60,1.1898983224689328e-07,6.212162938011574e-07,5.203355042970792e-06,1.6850881375361403e-07,1.2366909059989518e-07,1.255957123461793e-07,1.1846919222123175e-07,7.100454256855367e-08,1.6773480090691912e-06,5.043246455021629e-08,9.578972060261212e-08,9.825044596969143e-08,8.419432956097777e-08,1.0374153258662717e-07,2.5046639332947833e-07
4,-50,1.1860017734436765e-07,3.260291126100922e-07,2.0658535785185306e-06,1.4283131266213556e-07,1.224776537845851e-07,8.860495903443709e-08,1.1813020778861031e-07,1.0487571762845571e-07,4.3066247433126e-07,7.634168233669633e-08,1.0323184243254656e-07,9.687516224097677e-08,8.787041309456982e-08,1.0556708076739529e-07,1.6145060891722142e-07
5,-40,1.1821348911467402e-07,2.2209080133092814e-07,9.72190178674954e-07,1.305082186152642e-07,1.212980999475774e-07,4.712739753541925e-08,1.17826894059987e-07,1.0363133738356805e-07,2.24440890997987e-07,1.4967078447961555e-07,1.082673871601309e-07,8.688977552421917e-08,9.236906935415585e-08,1.076513126662462e-07,1.3996156383711188e-07
6,-30,1.1782900853348248e-07,1.7271234928895196e-07,5.137014191062989e-07,1.2212203754790606e-07,1.201325028268137e-07,5.025719586448044e-08,1.1752922183478197e-07,1.1184305112735939e-07,1.6732113283979883e-07,1.2625985062060482e-07,1.1164155991755683e-07,1.0564884675495714e-07,9.776342798584892e-08,1.0988945615082459e-07,1.2985090601598507e-07
7,-20,1.174456077109565e-07,1.4511557629637284e-07,2.953055218202062e-07,1.1713718077505102e-07,1.1896468414892916e-07,1.476941566449616e-07,1.1723766196909009e-07,1.1406930886559315e-07,1.410975635341135e-07,1.1702249165918762e-07,1.1398622581368114e-07,1.1068101876576584e-07,1.0375723099767594e-07,1.1218878530874456e-07,1.2385459189793517e-07
8,-10,1.1706629112356078e-07,1.2806621650231864e-07,1.8106964125642513e-07,1.1455150087773614e-07,1.1781422014491315e-07,1.0742870214785562e-07,1.1695790926480845e-07,1.1562856205239718e-07,1.262457606951056e-07,1.1477642621026794e-07,1.1557690697389606e-07,1.1419488425405902e-07,1.1015958750393921e-07,1.144602402429335e-07,1.197505183059761e-07
9,0,1.1668994023730138e-07,1.1668850555752001e-07,1.1668768238298628e-07,1.1668768238298628e-07,1.1668768238298628e-07,1.1669131165560766e-07,1.1669518130385827e-07,1.1669448194986869e-07,1.1668768238298628e-07,1.1668703833033383e-07,1.1668671630781378e-07,1.1669019698858388e-07,1.1668792119930616e-07,1.166933298891944e-07,1.1668768238298628e-07
