,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,0.0018427519395073895,0.0013826660073240331,0.0010964090417098487,0.005639549445638652,0.001956448082218971,9.938055978366308e-06,0.0018377685906393975,0.001889632108264996,0.001217856080889029,0.0018734706764695875,0.0018524163857648666,0.0019254291627919513,0.002136384992457396,0.0018420713615138517,0.001795164871807476
1,-80,0.0018366336311465212,0.001410387649190709,0.002051896021122096,0.0053141266438242905,0.0019375633395933474,2.0938839861542124e-05,0.0018319005082638627,0.0020168650623476284,0.001319246552155608,0.001876939533531289,0.0018442352314431694,0.0018741830368068878,0.0021187983233741828,0.0018357820346685152,0.0017826468813664123
2,-70,0.0018305875726288307,0.0014477506127096888,0.002016003003723491,0.005177935485838458,0.0019182018808271526,5.8037994807156634e-05,0.0018261090608824848,0.0018092521346139675,0.0013753666040044498,0.0018656131173145085,0.0018327072876827514,0.001860891908685554,0.002096277703793825,0.0018299821956997697,0.001767399997999623
3,-60,0.0018245660463016944,0.0015685257888392726,0.0019805209019628724,0.00460655436774619,0.0018989231904392165,0.0001407343163202788,0.0018204616838018582,0.0018184540359497219,0.0014402635116099831,0.0018559846836045243,0.001824348663801751,0.00182415942669531,0.0020681288764086325,0.0018240247849390088,0.0017930293015976588
4,-50,0.0018185613965721326,0.0016661489874196316,0.0019459549284749668,0.004027863047868709,0.0018798536307368008,0.0002749526587127649,0.0018148958563642113,0.0018159208673327544,0.0016776646935656651,0.0018458666526419973,0.0018183475749907667,0.0018163286403674163,0.0020324099864573834,0.0018181383006832753,0.0018366758903928557
5,-40,0.0018126346216670616,0.001720345927917955,0.001912510906407308,0.003512673944081947,0.0018610566481244717,0.00047451351391435945,0.0018095505021879677,0.00181025348126818,0.0017644745038774676,0.0017974906053738068,0.001812453654559071,0.0018130544015712768,0.0019913878410703777,0.0018122264455248112,0.0018377102502063762
6,-30,0.0018066907687075391,0.0017519382643092103,0.0018801494508319577,0.003021489760768793,0.0018419717169976403,0.0007490260919911879,0.001804292552546836,0.0018086738106385702,0.001791471832243544,0.001798919628543884,0.0018066299523932182,0.0018104116632774786,0.0019470747703408725,0.0018064014125383303,0.0018296461702199441
7,-20,0.001800839967031691,0.0017711091750503118,0.0018488574203310085,0.002564357788918124,0.001824458876035445,0.001200473664543706,0.001799120787886371,0.0018020308771662045,0.0017985896454515348,0.0017975774925441327,0.0018008011864212843,0.0018028470333642935,0.001897558905367984,0.0018005943337219103,0.0018177441239612415
8,-10,0.0017950357156123996,0.001782572887766591,0.001818365731158617,0.0021494254288109763,0.0018067094364667715,0.001448392218410304,0.0017941428109422546,0.0017954707936875965,0.0017963693973398998,0.0017941151746033717,0.0017949944950321948,0.0017958512571398394,0.0018445332990107868,0.0017949095723928457,0.001803978172748898
9,0,0.0017892469942252828,0.001789248832182321,0.0017892058621800672,0.0017892058621800672,0.0017892058621800672,0.0017892340413354906,0.0017892373283894785,0.0017892197061383833,0.0017892058621800672,0.001789215207704242,0.0017892345041810663,0.001789245058534096,0.0017892601158927726,0.001789229149190566,0.0017892058621800672
10,10,0.0017835021158807032,0.0017927202525530393,0.0017608341175213377,0.0014842558098932292,0.0017721112043455759,0.0021123234726575435,0.0017844770335537876,0.0017831748177972726,0.0017792853041827164,0.0017853118072564261,0.0017835218661655006,0.0017828812578439194,0.0017328928306413916,0.0017835909795169635,0.0017740553368962256
11,20,0.0017777554556336343,0.0017940284406121857,0.0017332527033976021,0.0012288564903924451,0.001755322507902798,0.0024009613600066452,0.0017797767201429226,0.0017772204055921822,0.0017677044032831618,0.001775780857848809,0.0017777911549248823,0.0017767419788009965,0.0016723749181228116,0.001777960741148467,0.0017585554299573037
12,30,0.0017720998904936457,0.0017937957777781914,0.0017066878981610572,0.001017476532879676,0.0017388180703239839,0.002651306240723005,0.0017752260307867748,0.001771368185589253,0.0017551095774650909,0.001765229928681742,0.00177216520091594,0.001770731842331119,0.0016432822149619025,0.0017723709142426543,0.0017432053419351786
13,40,0.0017664257955295679,0.0017924357408181833,0.0016808518928720772,0.000843770704775999,0.0017225100416601762,0.0028599616187505944,0.001770804486217312,0.0017654454479254834,0.0017418225384266003,0.0017562083707876573,0.0017665314353539799,0.0017648452189036132,0.0015906308956729538,0.0017668106345560162,0.001727833673886654
14,50,0.0017608374443372804,0.0017902719850327743,0.0016557666303790275,0.0007015917182902962,0.0017067005863589954,0.0030278445270619414,0.0017663751382649123,0.0017597913640547936,0.0017281998641887806,0.0017336007283526589,0.0017609202805301428,0.0017589485488011519,0.0015984779176454462,0.0017612994522566464,0.0017144974975921523
15,60,0.0017552710268169491,0.0017874814735540227,0.0016313942802029646,0.0005853588858090009,0.0016911321902796043,0.0031508354643287485,0.001762193513846908,0.0017542070698498761,0.0017143667762595926,0.00175844174877147,0.0017553747082063337,0.0017532724886867043,0.0015734842701894203,0.001755786821324012,0.0016992477066553689
16,70,0.0017497308363487144,0.0017842247379897694,0.0016077818108513559,0.0004902579768832136,0.0016758091735767635,0.0027927605452209886,0.0017580234890891692,0.0017486357301605055,0.0017004183644867513,0.0017471764355403655,0.001749822272781466,0.0017476112935903712,0.0014905579010830023,0.0017502758905197041,0.0016843344973647531
17,80,0.001744215117984688,0.0017806117163082665,0.001584789349161985,0.00041231876770047855,0.0016607722953849158,0.0028060545726023636,0.0017538858808121304,0.001743045374176976,0.001686456624457551,0.0017354144780453611,0.0017443052567888244,0.0017419622070812808,0.0014491537749288508,0.001744657285228982,0.0016695846771780296
18,90,0.0017387664384452084,0.001776715932899406,0.0015624840249742833,0.000348258643118101,0.0016459727307123165,0.0028231693154638564,0.00174995293220511,0.0017375365978717808,0.0016724995049136812,0.0017232287284972203,0.0017388084431788759,0.001736444436211031,0.0014297667761659682,0.0017394679430956799,0.0016549246866641271
