,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,7.947923056532926e-05,7.202070972180462e-05,7.551491765809862e-07,5.805593527297877e-05,8.461216174419526e-05,9.543985746500563e-07,7.954832575332136e-05,1.2836147904389606e-05,5.33367844567654e-05,4.420028566976713e-05,7.248640560001459e-05,0.037117247775285356,6.226204089566012e-06,7.772761567137488e-05,5.8809669988112264e-05
1,-80,7.92136363548169e-05,7.382597984456961e-05,7.917638163842865e-05,6.831794388901903e-05,8.371288468431954e-05,1.2603682253530767e-06,7.92849331642992e-05,2.1841813362322792e-05,5.978014135879013e-05,3.8564430791470806e-05,7.381768677075508e-05,0.004181441218169095,4.603170999044399e-06,7.752808384602342e-05,5.934845942746436e-05
2,-70,7.895454628521554e-05,7.090253747181341e-05,8.331600262197554e-05,7.367083979914603e-05,8.282224437258757e-05,1.6819479986025542e-06,7.902096040919038e-05,4.390020596665151e-06,6.768856674456727e-05,3.823203635915249e-05,7.54384510024705e-05,0.0020221430265280876,2.429289861683727e-06,7.741723004537729e-05,6.860843395927734e-05
3,-60,7.869465000306628e-05,7.483290226029429e-05,8.359926440927342e-05,9.040178454144086e-05,8.196053088054991e-05,2.5615494094869664e-06,7.875446606171635e-05,1.3861848596823436e-05,6.457863943773851e-05,3.8121983753414846e-05,7.643488065763279e-05,0.0007557198184998164,5.443817385180508e-07,7.733282378568491e-05,7.350882183555682e-05
4,-50,7.84357105797721e-05,7.697925273635181e-05,8.291300722644351e-05,8.943442494078144e-05,8.11175246648725e-05,5.119362113254292e-06,7.848885265680611e-05,2.8375904893730576e-05,7.665604740336442e-05,2.5281046472622365e-05,7.695064650922555e-05,0.0006313416512253797,9.376949312197288e-08,7.727728154553405e-05,7.609609654076267e-05
5,-40,7.818000803987172e-05,7.747763773043437e-05,8.189909359668857e-05,8.979984579660052e-05,8.029232794760392e-05,2.3792957330878496e-05,7.822457010973309e-05,5.570707037564661e-05,7.849124516668512e-05,9.010146451824524e-05,7.722022877745768e-05,0.0004933321242165948,2.5066425889138365e-06,7.723542547170882e-05,7.754228111408402e-05
6,-30,7.792261228523407e-05,7.753844651634162e-05,8.0752826630652e-05,8.950352278924339e-05,7.94391460481093e-05,3.61759755879367e-05,7.795969698035612e-05,7.35616332651279e-05,7.85653606366829e-05,8.76014835644664e-05,7.733196964210699e-05,0.0003128859860218182,9.548131933914546e-06,7.721570609598718e-05,7.795109447852468e-05
7,-20,7.767076638786779e-05,7.748029922317447e-05,7.956314736664732e-05,8.731882117333358e-05,7.869455390405975e-05,1.862046031021584e-05,7.76935400124917e-05,7.527931652996827e-05,7.824900975374366e-05,8.461181236024115e-05,7.733557452973758e-05,0.00018589000861312933,2.309599796316771e-05,7.719757399687457e-05,7.789567596516494e-05
8,-10,7.742105374808838e-05,7.733990573331319e-05,7.833739872917283e-05,8.324996194202217e-05,7.792823741450001e-05,6.237188039945003e-05,7.743285957206897e-05,7.640650851903981e-05,7.77510870476639e-05,8.111926927827721e-05,7.727883686032386e-05,0.0001170204299634435,4.5076726833232124e-05,7.718621631942335e-05,7.760208798435378e-05
9,0,7.717199018836782e-05,7.717095442022241e-05,7.716845667069832e-05,7.716845667069832e-05,7.716845667069832e-05,7.716985889151237e-05,7.717078092619066e-05,7.716797953257559e-05,7.716845667069832e-05,7.716931655759651e-05,7.71700612862155e-05,7.717039356269726e-05,7.717274420126885e-05,7.717087988924142e-05,7.716845667069832e-05
10,10,7.692320332734224e-05,7.697966463361297e-05,7.59954699538829e-05,6.97191480911952e-05,7.642800999381141e-05,7.59351195646047e-05,7.69104449425e-05,7.76806075220838e-05,7.654504069907035e-05,7.270055330026129e-05,7.703247945142842e-05,5.2866302676409e-05,0.00012047671046471732,7.714433227987341e-05,7.666247203443158e-05
11,20,7.667415564202676e-05,7.677593830379711e-05,7.483573178082152e-05,6.165829268074581e-05,7.570356782017137e-05,7.186064441164154e-05,7.664968617335576e-05,7.801660464724843e-05,7.591020163547703e-05,6.632822632678146e-05,7.686294849997755e-05,3.738694035947005e-05,0.0001318193760844903,7.710236194986806e-05,7.609870286808588e-05
