,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,5.420930651750414e-06,9.298106576827984e-05,4.1216378137456544e-06,2.49159590874775e-05,5.697911798567728e-06,0.00011289214869176976,5.361415056484843e-06,0.00020530803610295105,0.0001706898063756455,4.186230015187954e-05,0.0015814371182075705,8.431016943588191e-06,2.4005585896018787e-06,3.241851920616962e-06,7.013295017297948e-05
1,-80,5.40301031545965e-06,8.23770623787687e-05,2.107923258676775e-06,2.3108296791085834e-05,5.646480161916531e-06,9.735500373872961e-05,5.345774677242792e-06,0.0002176312002752183,0.00015866060012065884,7.191208255663739e-06,0.0006746723058466679,8.137469759975363e-06,2.464923787039992e-06,3.3176959519463648e-06,6.0468280458069865e-05
2,-70,5.3851698128690955e-06,6.977824252961601e-05,4.1738462663770445e-06,3.0606861972041085e-05,5.6028956366326294e-06,7.990215423153326e-05,5.332681371703804e-06,5.504236689933916e-06,0.00011799738001081047,2.4108752607121384e-06,0.00024679795702804773,1.5606058215720184e-05,2.5842267879003135e-06,3.448824821790733e-06,3.362743315029841e-05
3,-60,5.367397254172112e-06,3.37989224753751e-05,4.909961014855288e-06,1.347223789705946e-05,5.558468746178197e-06,5.7667195444601436e-05,5.318862149676591e-06,1.6856475716019168e-05,9.198969426553226e-05,6.049620187414487e-09,0.00010941759358046263,1.729352769398201e-05,2.7696085118037646e-06,3.6298633537222867e-06,1.118686815297086e-05
4,-50,5.349869567843152e-06,1.7389219539021178e-05,5.204269907590948e-06,1.0213320992666865e-05,5.511727451502162e-06,2.5973109742568843e-05,5.306848416710056e-06,1.2372820781439291e-05,2.0545247067218156e-05,4.4206259910114735e-06,5.715099557135081e-05,1.0470111324875865e-05,2.8522242708284517e-06,3.849561973601572e-06,6.979898302258655e-06
5,-40,5.332277216503439e-06,1.1329766772351944e-05,5.322015309221022e-06,8.468374238816054e-06,5.463171476194136e-06,1.2533043931333304e-05,5.296917564159209e-06,8.19588261272071e-06,1.0531247516996245e-05,3.025028252533937e-08,3.1984165078189424e-05,5.760346483277911e-06,3.142479603853608e-06,4.1020673032524266e-06,6.069259336018518e-06
6,-30,5.315010959670014e-06,8.457382083424955e-06,5.354975693363989e-06,7.391256720849903e-06,5.4132441262124285e-06,1.1145164455479244e-05,5.287102369278703e-06,4.232416282907772e-06,7.721692031325402e-06,2.374129166472532e-07,1.9004679885446868e-05,4.740354036962148e-06,3.522882245743754e-06,4.378642046324951e-06,5.704361678654732e-06
7,-20,5.297615004493217e-06,6.869661569814802e-06,5.345545546075333e-06,6.7878887128101595e-06,5.363006984316919e-06,3.148947685040125e-05,5.279249155335416e-06,4.683468302287606e-06,6.444449920718183e-06,1.2461930095089156e-06,1.1886848079329522e-05,4.970717190024846e-06,3.994376326645527e-06,4.6695000170067935e-06,5.502733410686156e-06
8,-10,5.280689135072896e-06,5.9005004184855635e-06,5.3101361175837995e-06,5.633548615079086e-06,5.313101910003847e-06,9.8688415866811e-06,5.2703507742389e-06,5.015953983743627e-06,5.724515480746656e-06,2.9412525623913074e-06,7.7668103617683e-06,5.139806614615396e-06,4.571080498039349e-06,4.966247011789513e-06,5.366494801907009e-06
9,0,5.2640380173483195e-06,5.263453091018503e-06,5.26347897214713e-06,5.26347897214713e-06,5.26347897214713e-06,5.263515750652474e-06,5.26378376070792e-06,5.2634558837237175e-06,5.26347897214713e-06,5.263355258409159e-06,5.263304208528329e-06,5.263664566383645e-06,5.263594309208061e-06,5.264045841700147e-06,5.26347897214713e-06
10,10,5.2467741227797415e-06,4.819487664291729e-06,5.207550857160519e-06,5.645092318421453e-06,5.2139775448282934e-06,3.8390836226255325e-06,5.2564889649482625e-06,5.450196033109189e-06,4.943942549406764e-06,8.735263243583121e-06,3.6820121428134895e-06,5.356381124826077e-06,6.072145262269454e-06,5.55596094650613e-06,5.179481427977678e-06
11,20,5.229679909879244e-06,4.496722466718377e-06,5.146304569559461e-06,6.430469906092283e-06,5.166288271750102e-06,2.6743463573189806e-06,5.25057950078004e-06,5.593789288728114e-06,4.7080257922078145e-06,1.1459419659356582e-05,2.6451502880759985e-06,5.424886559798415e-06,1.5363355850190347e-05,5.8357350523032865e-06,5.104990136871284e-06
12,30,5.213370437237448e-06,4.252206176863779e-06,5.083113909206757e-06,7.649259887207241e-06,5.1184421270562904e-06,1.7462009351877512e-06,5.245471931237746e-06,5.703826548397099e-06,4.525842344689367e-06,1.3762600593274894e-05,1.9480976151323196e-06,5.474537938026143e-06,2.877019035726599e-05,6.104310490024724e-06,5.040171165086309e-06
13,40,5.19660282123593e-06,4.063203035236235e-06,5.019062536469979e-06,9.322893360956046e-06,5.070781329455313e-06,1.029374892966214e-06,5.238129063573802e-06,5.787788449498208e-06,4.3798276664998004e-06,1.8386524426633148e-05,1.4617350184735692e-06,5.51590991114399e-06,6.511255182343048e-05,6.356781866334863e-06,4.98084558701049e-06
14,50,5.180110928080803e-06,3.912123688472808e-06,4.954123372932144e-06,1.1458733540345544e-05,5.02600741174166e-06,5.240718983731486e-07,5.2310678747249746e-06,5.853779312370038e-06,4.257567095753428e-06,2.7971877715318256e-05,1.1174030999376115e-06,5.543724525344577e-06,6.193152270685032e-05,6.594655438428264e-06,5.314650309499931e-06
15,60,5.163429802411494e-06,3.7901695576227693e-06,4.889113697186916e-06,1.4037335257985972e-05,4.979975171500294e-06,2.3492726442329638e-07,5.225435577943113e-06,5.907471103546778e-06,4.155722248487431e-06,4.629448809071029e-05,8.682313878760929e-07,5.56228846948633e-06,9.893913393719027e-05,6.810622695523795e-06,5.2546404631136316e-06
16,70,5.147771190213519e-06,3.6888733035725276e-06,4.825195928999464e-06,1.7018578860856355e-05,4.934976886969985e-06,0.0003139173114459885,5.220119707786226e-06,5.945242721745532e-06,4.065598041616242e-06,5.4218145835660234e-05,6.840553547020377e-07,5.576901968238915e-06,0.000188186015044151,7.012092629742155e-06,5.201473301379164e-06
17,80,5.13114968554406e-06,3.6031152630180463e-06,4.761544302897926e-06,2.0338793368685957e-05,4.8909999587221535e-06,0.00031820190031152363,5.2119840786624334e-06,5.9748833460613384e-06,3.988077587178907e-06,6.220789575549518e-05,5.460703892346328e-07,5.585502118525758e-06,4.759437584154674e-05,7.196727431984923e-06,5.141091892430259e-06
18,90,5.1150949940129645e-06,3.5309748554213922e-06,4.69829980150873e-06,2.3927575249696676e-05,4.8477202893249926e-06,0.0003162159037143716,5.205297841084652e-06,5.997786414479328e-06,3.917785525015928e-06,7.02734071304628e-05,4.4071073232717107e-07,5.592625491221714e-06,0.00012667633809093797,7.36691155597703e-06,5.088023930034133e-06
