,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,2.1092364943493004e-08,1.8452869823529333e-07,1.603709668607437e-08,2.5875371733812405e-06,2.2145911158810803e-08,4.3528665365266314e-07,2.04888196063655e-08,7.902979612196672e-07,5.312868133993554e-06,7.766862479361568e-07,6.074693917450061e-10,3.281076758992605e-08,9.203990003058372e-09,1.2504254506279749e-08,1.1575755005543695e-06
1,-80,2.0956352816701166e-08,3.190992935105924e-07,7.759898208135545e-09,1.833335802222191e-06,2.1890401674372568e-08,3.776161637808309e-07,2.075691345191978e-08,8.414751753083676e-07,4.339145706749433e-07,2.2534546771020416e-07,3.847150475595317e-09,3.686880763905234e-09,6.161212182444091e-09,1.2036282050037904e-08,2.630402401794988e-07
2,-70,2.094846705136586e-08,2.708498013218302e-07,1.5824153801476292e-08,1.169652771119712e-07,2.158673490858337e-08,3.100744366547815e-07,2.0697147350886737e-08,8.294055939802984e-09,4.5107497316272944e-07,9.477356263116506e-08,7.401978919844532e-09,9.655979882231691e-09,7.1437484278819136e-09,1.3377675023606781e-08,2.8122758397071294e-07
3,-60,2.0888496476444407e-08,1.3123073744006164e-07,1.9121139161921466e-08,3.674730596067363e-08,2.152681216601564e-08,2.240470569595586e-07,2.0703880927392034e-08,4.5987916999323675e-08,3.568944484998896e-07,2.369361911603333e-08,1.0654106490002465e-08,5.644414656410615e-08,9.84171394506563e-09,1.4018539939738802e-08,4.3587768643320265e-08
4,-50,2.0688155338398205e-08,6.546133740642898e-08,2.0257120771330998e-08,3.94438762514807e-08,2.1388418939515568e-08,6.386720785984658e-07,2.0388981259457946e-08,2.4722727397469226e-08,7.975092937284534e-08,2.2026862693641858e-07,1.3658232944498349e-08,4.045374475015531e-08,1.0979299690278874e-08,1.5001731760656704e-08,2.717153707063328e-08
5,-40,2.0712137880186433e-08,4.346741080328333e-08,2.0727701394622664e-08,3.2817029011291996e-08,2.115324357832678e-08,1.832073991167241e-07,2.0606486415809743e-08,1.8005533062188113e-08,4.0990322039545965e-08,1.200242682837033e-10,1.5938562182605964e-08,1.5533902896431688e-08,8.817336874931731e-09,1.579745222734979e-08,2.3623308007521965e-08
6,-30,2.0435057202225552e-08,3.201610421260711e-08,2.084458656628557e-08,2.8761145647219657e-08,1.7888421879530547e-08,3.8609074797165996e-08,2.059745193995818e-08,1.4898767305657328e-08,2.940826144071474e-08,8.61002187796867e-10,1.7730052078288053e-08,1.8188172739036904e-08,1.3646256950382983e-08,1.6817579153199713e-08,2.2018374509664753e-08
7,-20,2.045146973356142e-08,2.6633600021857633e-08,2.0830955695475643e-08,2.3267210198338436e-08,2.0718080179552174e-08,2.771829092025402e-06,2.034001358229073e-08,1.8231888530082097e-08,2.505815968039084e-08,4.754807417263441e-09,1.8963271944490778e-08,1.932900676879805e-08,1.553750145461508e-08,1.7789021800689113e-08,2.1286888566410973e-08
8,-10,2.0505828353157017e-08,2.289426768216122e-08,1.9807970320683724e-08,2.1660555298244806e-08,2.0688188894775192e-08,1.1118534334593134e-08,2.051332374005396e-08,1.936820242062477e-08,2.227932878155298e-08,1.1138074415051697e-08,1.9699318900025666e-08,1.9972689286634768e-08,1.7648519058928513e-08,1.9164119024312347e-08,2.0849979119250266e-08
9,0,2.04447476636314e-08,2.046549147677402e-08,2.023416337235676e-08,2.023416337235676e-08,2.023416337235676e-08,2.0393242200620555e-08,2.039725826147867e-08,2.0329451779892508e-08,2.023416337235676e-08,2.028342377771438e-08,2.0389034830171475e-08,2.0450950906975285e-08,2.0512996029116743e-08,2.0346529171904293e-08,2.023416337235676e-08
