,Change,GPDIFF_weight,GROWTH_weight,KM_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,3.7969018823090386e-06,0.0002686878121376895,0.00011502852971265149,3.6071221932766226e-07,3.9548176380279365e-06,0.00015228680974860957,3.7185629831513317e-06,0.00030485271102790353,0.0004136844237685394,3.536583344456062e-05,9.884044601047958e-06,6.854043345725607e-05,2.3569645824440935e-08,9.477923823186699e-06,0.00017517357099030618
1,-80,3.784011898796749e-06,0.0002473757721896924,7.76008722845576e-08,1.045796272873799e-06,3.926965278630949e-06,0.00011138308112625873,3.708571162407769e-06,0.00025990691623631155,0.0004189106665592406,4.2150682138478587e-07,2.1721636253098343e-06,1.6822159665201947e-05,8.660810774307606e-09,9.102640950339235e-06,0.0001386712671113169
2,-70,3.7718019006583595e-06,0.00021091710446477833,1.2435642395117564e-06,5.745530722853587e-06,3.904422575470416e-06,6.535196579837681e-05,3.701970550542406e-06,1.2752198072259767e-05,0.0003586414496417237,1.2537781438932485e-06,7.638273293936425e-08,4.551835770459768e-06,9.654204377479393e-11,8.579084935176231e-06,0.00010957334186836579
3,-60,3.7590726693618686e-06,9.466461160269117e-05,2.4103357943828153e-06,9.803720986020348e-06,3.879514322676341e-06,2.3656688827632366e-05,3.6949616130116215e-06,2.5430909774946617e-08,0.00027526258187190496,8.379857026433745e-06,1.975539810763342e-07,7.836046902634994e-09,2.4830323822205467e-08,7.93266499832449e-06,3.1183431056644876e-05
4,-50,3.74712962213131e-06,3.929449336357816e-05,3.023899786130639e-06,7.844952748551824e-06,3.850954639794139e-06,9.018521875706608e-06,3.6906331666873983e-06,3.51220045747741e-09,5.045467490523377e-05,4.6505381943689366e-05,9.16307087673709e-07,2.0514539638046699e-07,7.56889078215146e-08,7.189691314141628e-06,1.0445110015238067e-05
5,-40,3.734667314368181e-06,1.9931572603122845e-05,3.3529253633462064e-06,6.056197511605226e-06,3.820816770987464e-06,4.969447979736835e-06,3.6880064825069277e-06,7.656881730238785e-07,1.7770910293850956e-05,1.1235324456011306e-06,1.6959092643645127e-06,1.1158352410446276e-06,2.531300755429338e-07,6.420396345136811e-06,6.630806916952148e-06
6,-30,3.722507442020666e-06,1.1549819258926631e-05,3.530106959413807e-06,4.9764489037306866e-06,3.7844428771084983e-06,2.6424951387478205e-06,3.6852439755677614e-06,2.1257276919175137e-06,9.619110644917616e-06,1.669766219242416e-06,2.36920722337727e-06,2.7258748407686284e-06,6.138492496824967e-07,5.662184837418435e-06,5.16744059352267e-06
7,-20,3.710322339631378e-06,7.366271620303585e-06,3.625523361914569e-06,4.486524280973563e-06,3.7543009445588074e-06,2.788545789449988e-06,3.6863813103113292e-06,2.7628091421915814e-06,6.324542714067835e-06,2.4406659618969895e-06,2.915504662305371e-06,3.131637968476416e-06,1.2371456019287707e-06,4.941929295113957e-06,4.423680879425771e-06
8,-10,3.698653518674328e-06,5.059768467929756e-06,3.6654086900415716e-06,3.594428679309182e-06,3.720424872835478e-06,4.226317000255313e-06,3.6847173846875612e-06,3.2780582521687486e-06,4.655746665597943e-06,3.1692478385027117e-06,3.348283823709062e-06,3.4450612029962797e-06,2.223486038398711e-06,4.28023005927783e-06,3.979379169056916e-06
9,0,3.6874171709771883e-06,3.686405735887866e-06,3.6864363498833897e-06,3.6864363498833897e-06,3.6864363498833897e-06,3.686358628086936e-06,3.68667390056077e-06,3.686025380013635e-06,3.6864363498833897e-06,3.6863310986373755e-06,3.686134136558242e-06,3.6864733568799284e-06,3.686805855766768e-06,3.687196845621025e-06,3.6864363498833897e-06
