,Change,GPDIFF_weight,GROWTH_weight,KM_weight,OUT_weight,RD_weight,RP_weight,SRDUS_weight,SRGDP_weight,SINNOVPATUS_weight,TO_weight,SPFLOW_weight,UUPCOST_weight,SINNOVPATEU_weight,DOMPATINUS_weight,DOMPATINEU_weight,TE_weight
0,-90,0.04153551056248639,0.0333178494816767,0.03228786264882318,0.04560414421896791,0.014160661011897831,0.04291665863804465,0.006227591069501222,0.04021417125472876,0.03650367021487354,0.03452629647996232,0.035802491148438996,0.04144982446905562,0.040207231377253454,0.03761676858347417,0.041529571930400605,0.04018681701108978
1,-80,0.041397975785803315,0.03477899815585466,0.04621738590682463,0.04496412979073756,0.015522672061126695,0.04276561944723212,0.008336268605237365,0.040124858417674575,0.03853373821200502,0.03492742065263583,0.035505025840479695,0.041343013232110974,0.04070811774935766,0.03763189664256367,0.04139233781806543,0.04067685452772755
2,-70,0.04126134877725666,0.03672662049650991,0.045428239726115247,0.044330545644446266,0.017523841996580327,0.04259895905967731,0.011609763070624292,0.04006467167601087,0.040509871556158705,0.037052645495876904,0.03597111599925545,0.04122917137477126,0.04081071536212543,0.0377367295939146,0.041256168713414955,0.04141203132192321
3,-60,0.04112562065512721,0.038526687395195255,0.04463345975116131,0.0437121304355588,0.02042066896506656,0.04237027348928562,0.015716079479771446,0.040032447943230506,0.04076753205251773,0.03934030685914437,0.03648697870462731,0.04110536524588872,0.04086857517249275,0.03792603894095217,0.041121034395558524,0.042057938551623125
4,-50,0.04099078259418843,0.039445346183679494,0.04385772818698638,0.043109959540282794,0.023675654579941512,0.042085795735296236,0.020313186586238496,0.04002673015191782,0.04070676158531208,0.04093262738590552,0.03691880635750227,0.04097769553688239,0.04079928856506849,0.038192921262446826,0.04098688965906028,0.04200963427186733
5,-40,0.040856825754624175,0.03992020686675673,0.0431054238823977,0.04252384478359665,0.02714171557848983,0.04176338554725092,0.025000244446380143,0.040045806847512244,0.040671668712604435,0.04119159687515748,0.03806451160088637,0.040848475222489834,0.040725890236621105,0.03852845284369221,0.040853691837330106,0.04174870269775199
6,-30,0.040723741747763574,0.040168249557314226,0.04237710064736063,0.041953301565513634,0.03066464269803551,0.041418059707011255,0.029514309374925003,0.040087760053881906,0.04060729585501888,0.04111663812344435,0.03858108644656402,0.04071861750305942,0.04064410664474087,0.038922288662152096,0.04072140052873997,0.041420602840238595
7,-20,0.04059152174288037,0.04028904409519012,0.04167226397541789,0.04139778671166391,0.03410285840853707,0.0410599775631347,0.03382452641076733,0.04015051417877715,0.04052818193360879,0.040908368247410794,0.039121418457789145,0.040588665070218265,0.040548264114992134,0.03936265095692361,0.04058998061993473,0.041065390767404855
8,-10,0.04046015754618294,0.04033348359003253,0.04099008928348506,0.04085674783771343,0.03735276264780669,0.040695786056523915,0.037255519587357906,0.040231887151420224,0.04043365158050215,0.04063582520491773,0.03970147046244713,0.04045894086872815,0.04044207268724224,0.039836401168858636,0.0404594016494472,0.04069921095238992
9,0,0.0403296409092581,0.040329640902904,0.04032964102529608,0.04032964090664653,0.04032964102529608,0.04032964102529608,0.04032964092909335,0.040329640920418824,0.040329640970861856,0.04032964102529608,0.04032964098155447,0.040329640923749945,0.04032964091264126,0.04032964089961035,0.04032964094639592,0.04032964102529608
