0,0.05
1,0.13470653464368657
2,0.13470653464368657
3,0.05
4,0.1398568080250918
5,0.1398568080250918
6,0.05
7,0.1256396272104192
8,0.1256396272104192
9,0.05
10,0.27284342341374673
11,0.27284342341374673
12,0.05
13,0.23269531705242827
14,0.23269531705242827
15,0.05
16,0.5631660425929875
17,0.5631660425929875
18,0.05
19,0.04963575699640282
20,0.04963575699640282
21,0.05
22,0.09775500998716502
23,0.09775500998716502
24,0.05
25,0.5322626337685697
26,0.5322626337685697
27,0.05
28,0.26183286545624274
29,0.26183286545624274
30,0.05
31,0.16705896468516793
32,0.16705896468516793
33,0.05
34,1.5921587202692662
35,1.5921587202692662
