moments,weights
GPDIFF,1.0
GROWTH,5.0
KM,5.0
OUT,5.0
RD,20.0
RP,10.0
SRGDP,5.0
SINNOVPATUS,1.0
TO,5.0
SPFLOW,10.0
UUPCOSTS,1.0
DOMPATINUS,1.0
TE,5.0
TEPHARMACHEM,5.0
TOPHARMACHEM,5.0
RDPHARMACHEM,10.0
KMPHARMACHEM,5.0
