,0
eta,0.0003850086811780784
eta,0.000435719903165932
eta,2.651393288699566e-05
eta,1.1759928408849873e-06
eta,9.62475636967497e-06
eta,3.851193653758855e-06
eta,1.1586321704726288e-05
delta,1.5998599656619206e-05
delta,5.8900173531828415e-06
delta,4.709942439617976e-06
delta,3.3795599292396616e-06
delta,-1.5779057935816354e-06
delta,2.24979062979358e-06
delta,7.642085985970493e-07
fe,1.0075545113022444e-06
T,-9.762704319590313e-11
T,-1.1451465981117238e-10
T,-6.662791762691648e-11
T,1.9067349941766373e-08
T,-8.860059732114389e-10
T,3.424663003843029e-08
T,-4.889562957789055e-09
fo,54.6203450281016
g_0,5.036970305294375e-05
