,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0
GPDIFF,4.83671472966671,5.744244113564491,3.574036553502083,15.669996336102486,5.499914690852165,9.823566183447838,11.87803903222084,-0.01087602972984314,-0.001819312572479248,-0.004580214619636536,-0.0018089860677719116,-0.016076982021331787,-1.1261177444918523e-05,-1.6201751869980822e-05,-0.002271100878715515,-2.6973654882399915e-12,-1.1285524037567127e-11,-7.150068315364491e-12,-1.2118356797131205e-09,-4.869233685411612e-10,-2.0471693267982636e-09,-3.455908272601716e-10,-0.0020012855529785156,-9.324764370918274
GROWTH,2.1180973201990128,2.5155231952667236,1.5651444494724274,6.862215504050255,2.408526301383972,4.3019427210092545,5.201638877391815,-0.0047628432512283325,-0.0007967203855514526,-0.0020057857036590576,-0.000792190432548523,-0.007040441036224365,-4.934258749411475e-06,-7.094838984171611e-06,-0.0009945482015609741,-1.156013780674282e-12,-4.83665315895734e-12,-3.0643149922990676e-12,-5.193581484484803e-10,-2.086814436604977e-10,-8.773582829135415e-10,-1.4811035454007354e-10,-0.0008764117956161499,12.272613361477852
KM,3.723664790391922,-0.6853735148906708,0.32271720096468925,1.340345110744238,0.45340869948267937,0.8876854106783867,-2.6134117767214775,-7.758501138538122,-0.09821286797523499,-0.04385288804769516,-0.0011513866484165192,-0.002540942281484604,-7.106254890507553e-05,-0.0014308789939035983,-0.37995894625782967,-1.3679496404645671e-11,-5.481540246818318e-11,-3.47289032460561e-11,-5.886059015749443e-09,-2.3650563614856404e-09,-9.943393873020138e-09,-1.6785840181208335e-09,-0.3937426283955574,-2.6876535564661026
OUT,9.768743857741356,-0.8777131512761116,-1.1281963512301445,-5.060887582600117,-1.7727021872997284,-3.1761488802731037,0.3868137113749981,0.035815898329019547,4.990026354789734e-05,0.0011903084814548492,0.0005780719220638275,0.005176801234483719,1.620927056465545e-06,1.8928918238402517e-07,0.0017427541315555573,2.500196403982317e-06,8.57498299640145e-11,5.451927090465424e-11,9.240247057812544e-09,3.7127906851263547e-09,1.560966611683676e-08,2.6351300578588083e-09,0.0011161230504512787,0.7433110363781452
RD,173.70988804847002,-0.5089116171002388,3.8743347823619843,18.25154011696577,6.403481937944889,11.392775148153305,-18.56283897906542,-0.5807083696126938,-0.009637579321861267,-0.009203389286994934,-0.0021831542253494263,-0.018830537796020508,-1.817836260764489e-05,-0.0001114878230689615,-0.028085634112358093,1.791821360045137e-11,6.791467144035931e-11,4.328344926622433e-11,7.335933846834784e-09,2.94762539170453e-09,1.2392685746153774e-08,2.0920587578785387e-09,-0.0005496442317962646,-7.786788925528526
RD,1.958648644387722,406.8861475735903,4.173300947993994,20.39122750982642,7.232660051435232,12.372296791523695,-17.852444119751453,-0.08121160045266151,-0.15420883148908615,-0.014469794929027557,-0.0025601908564567566,-0.021291833370923996,-2.6331418186111698e-05,-0.00014814682805733439,-0.016378846019506454,3.6896106499854165e-11,1.5164922925480826e-10,9.607904298771035e-11,1.6316501830423087e-08,6.556075355000636e-09,2.7563672721533762e-08,4.6531336384673106e-09,-0.0015834234654903412,-8.427252098917961
RD,3.6483732350170612,2.78852741420269,85.69478053227067,14.482561625540257,5.201293144375086,9.28568547219038,-6.312830876559019,-0.05204354599118233,-0.007013510912656784,-0.3113548681139946,-0.0020915083587169647,-0.015262428671121597,-1.1025993149385827e-05,-0.0001292161571413172,-0.0174587219953537,-1.601560758642495e-11,-6.640321732818514e-11,-4.207049124843928e-11,-7.162814464018623e-09,-2.878064910484364e-09,-1.2100232985182594e-08,-2.0426886396985144e-09,0.0005873478949069977,-6.6591555289924145
RD,2.470072716474533,1.7683792114257812,1.5203387886285782,13.420318275690079,2.976276934146881,5.318218365311623,-0.7829219549894333,-0.014139950275421143,-0.0023680776357650757,-0.005017980933189392,-0.009813576936721802,-0.008718758821487427,-7.110866347282704e-06,-3.104342591098013e-05,-0.002975568175315857,4.142382714082844e-12,1.7734394916176913e-11,1.1235821638429914e-11,1.904313210977761e-09,7.651652934218249e-10,3.2169803706829856e-09,5.430712999802696e-10,-0.0002088397741317749,-4.56037412583828
RD,1.9906470030546188,1.8275255858898163,1.7260496765375137,7.747984230518341,2.9299917817115784,4.824583411216736,3.460848107933998,-0.006632983684539795,-0.0010632872581481934,-0.0022990405559539795,-0.0008966028690338135,-0.03380994498729706,-6.409924917459766e-06,-1.3867185287244511e-05,-0.0031965523958206177,-9.44077920883997e-12,-4.0305442991311166e-11,-2.5535958269158897e-11,-4.327984570404002e-09,-1.7390120305041475e-09,-7.311319024279512e-09,-1.2342529545006128e-09,-0.00023320317268371582,-4.335217088460922
RD,3.6174625232815742,0.3057842180132866,2.950277917087078,13.071808479726315,4.58562059700489,176.14268996566534,-7.542856469750404,-0.024614788591861725,-0.006404057145118713,-0.004350095987319946,-0.0015561804175376892,-0.013537541031837463,-0.000814083521801266,-9.64077848723675e-05,-0.00318937748670578,-3.1260539319067045e-11,-1.3220185301150062e-10,-8.375794312284118e-11,-1.4152509545221087e-08,-5.686569339748562e-09,-2.4054239589879596e-08,-4.036007161217004e-09,-0.0009066388010978699,-6.040420778095722
