country_code,country,fee
1,USA,14477.257104931432
2,EUR,27237.787825139898
3,JAP,25968.86603539463
4,CHN,15970.08119216555
5,BRA,24032.687605387408
6,IND,13015.798430092353
7,ROW,106192.80560263654
