,Non patent,Patent,Pharmaceuticals,Chemicals
USA,56245.487096508565,40449.34300669513,16886.906948773638,16529.027917957235
EUR,16110.87643626642,11132.662428494688,1001.4500547990602,2837.5760651856476
JAP,25122.35148856394,20824.3897458718,36449.637204932034,26620.092391194015
CHN,947.1144482560422,706.5307585846499,497.2629362258221,440.3506197511865
BRA,884.8901584244594,1520.1046043767246,19017.2330643798,9850.119332992645
IND,105.01712762587032,78.68763583020831,69.76188895283282,5.124324482677433
CAN,11153.714496690882,64630.6440869092,68192.84192983575,167681.8777529287
KOR,5608.128214476927,47505.15524885591,17392.470990621136,57157.68642165798
RUS,1611.2826362429491,12774.00553993563,58387.69098096994,26135.15798610638
MEX,1035.5458615529603,8598.095418516878,13619.950731534997,11890.29740786021
ZAF,1182.5622200709577,709.558305953068,18337.2543276692,121.49806973052246
ROW,14.89305554163488,57755.04293401746,98103.39640702098,73851.58850451531
count,12.0,12.0,12.0,12.0
mean,10001.821936685134,22223.684976170112,28996.321455476264,32760.033066196876
std,16559.603624563675,23887.923135682802,30741.04823518636,48496.65620547041
min,14.89305554163488,78.68763583020831,69.76188895283282,5.124324482677433
25%,931.5583757981465,1317.4680297708105,10465.325562351012,2238.2697038270326
50%,1396.9224281569534,11953.333984215158,17864.86265914517,14209.662662908722
75%,12393.004981584767,42213.29606723533,41934.15064894151,34254.49089881001
max,56245.487096508565,64630.6440869092,98103.39640702098,167681.8777529287
