,Patent,Pharmaceuticals,Chemicals,welfare
USA,0.01,0.01,12.0,
EUR,0.01,0.01,12.0,
JAP,0.01,0.01,0.01,
CHN,12.0,0.01,12.0,
BRA,12.0,0.01,12.0,
IND,12.0,12.0,12.0,
CAN,0.01,0.01,12.0,
KOR,0.01,0.01,12.0,
RUS,12.0,0.01,12.0,
MEX,12.0,0.01,12.0,
ZAF,12.0,0.01,12.0,
ROW,12.0,0.01,12.0,
