delt_dom,delt_int,growth,World Equal,World Negishi,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
1.0,0.09999999999999923,,,,1.0019911104695802,1.001829377649156,1.0018608291221285,1.0016949022979629,1.0017269217011076,1.0017285268156801,0.9569912008512973,1.001952415758371,1.0018042886231078,1.0016665374236207,1.001746349800446,1.001785698111769
1.0,0.1584893192461108,,,,1.001667636936687,1.0015315132864242,1.0015579759505395,1.0014179605203088,1.00144432788191,1.0014456993194394,0.9633670799689623,1.0016359269740198,1.0015099504202847,1.0013930091383145,1.0014606562215385,1.0014934976781227
1.0,0.2511886431509579,,,,1.0012721327430945,1.0011674326205342,1.0011877737919073,1.0010797909942635,1.0010994432030151,1.0011005246414326,0.9714382536333783,1.0012485279782044,1.0011503003352933,1.0010594785237732,1.001111963158085,1.0011369041005072
1.0,0.39810717055349726,,,,1.0008307408002917,1.0007614436428816,1.0007749020966905,1.0007032632852069,1.0007157097936734,1.000716461386006,0.9808433082285505,1.0008156818475058,1.0007495369177402,1.0006888735102872,1.0007239475277605,1.0007401530488542
1.0,0.6309573444801918,,,,1.0003893076264456,1.000356141590527,1.0003626093919955,1.000328239687818,1.000333860290403,1.000334259838946,0.9907463253538753,1.0003823791755695,1.0003499959586772,1.0003208207729184,1.000337761079839,1.0003453145699548
1.0,1.0,,,,1.0000007560133075,1.000000614599842,1.000000735006745,1.0000004473637323,1.0000004923375492,1.0000005449176868,1.0000006869843894,1.0000008007431802,1.0000003722563011,1.0000004951680412,1.0000004978230626,1.0000005155296527
1.0,1.584893192461114,,,,0.9997043994033128,0.9997310642992687,0.9997260459769711,0.9997533358743309,0.9997495765814856,0.9997493275184455,1.0075767008357104,0.9997098146108162,0.9997364182668378,0.9997605946169124,0.9997465113244821,0.9997408531385169
1.0,2.51188643150958,,,,0.9995102182442911,0.9995563111000572,0.9995476212224752,0.9995946320215855,0.999588811060158,0.9995883210139833,1.012996383223379,0.9995194386311057,0.9995665472180119,0.9996081626291681,0.9995836267058389,0.9995743067240138
1.0,3.9810717055349727,,,,0.9994007251728084,0.9994595294545529,0.9994484842597523,0.9995081212517789,0.999501508477931,0.999500845926431,1.0164258503216657,0.9994124482335364,0.9994736472820828,0.999526561931378,0.9994950330863617,0.9994836957932541
1.0,6.309573444801933,,,,0.999346886430266,0.9994132730250339,0.999400835066538,0.9994678600015238,0.9994611310254478,0.9994603496460714,1.018377985824629,0.9993601114069414,0.999430178232043,0.9994897624262503,0.9994539419493882,0.9994416455023366
1.0,10.0,,,,0.9993231255370855,0.9993938205999342,0.9993805599896579,0.9994516273252941,0.9994450181999665,0.9994441694147069,1.0193931423186295,0.9993372057450098,0.9994124860222957,0.9994757031498939,0.9994374680269473,0.9994247617772118
