,delta dom,delta int
USA,0.0796542417874097,0.0796542417874097
EUR,0.0864937768556425,0.0864937768556425
JAP,0.0969064319489054,0.0969064319489054
CHN,0.1360375446557619,0.1360375446557619
BRA,0.1556069859918044,0.1556069859918044
IND,0.2222123630409098,0.2222123630409098
CAN,0.0653345180055136,0.0653345180055136
KOR,0.0594077059483381,0.0594077059483381
RUS,0.2100590903807733,0.2100590903807733
MEX,0.1891217187930982,0.1891217187930982
ZAF,0.1553639156103552,0.1553639156103552
ROW,1.4046297450045773,1.4046297450045773
count,12.0,12.0
mean,0.2384023365019241,0.2384023365019241
std,0.3714956514032275,0.3714956514032275
min,0.0594077059483381,0.0594077059483381
25%,0.08478389308858429,0.08478389308858429
50%,0.14570073013305856,0.14570073013305856
75%,0.19435606169001696,0.19435606169001696
max,1.4046297450045773,1.4046297450045773
