,delta_dom,delta_int,welfare
USA,0.01,0.01,
EUR,0.01,0.01,
JAP,0.01,0.01,
CHN,0.01,12.0,
BRA,0.01,12.0,
IND,0.01,12.0,
CAN,0.01,0.01,
KOR,0.01,0.01,
RUS,0.01,12.0,
MEX,0.01,12.0,
ZAF,0.01,12.0,
ROW,0.01,12.0,
Negishi,,,
Equal,,,
