,delta_dom,delta_int,welfare
USA,0.01,0.01,-7.999888959385331
EUR,0.01,0.01,-5.302852573476386
JAP,0.01,0.01,-7.350930248542909
CHN,0.01,12.0,8.007070686546442
BRA,0.01,12.0,7.595881400092026
IND,12.0,12.0,7.438181031620459
CAN,0.01,0.01,-3.740223821246346
KOR,0.01,0.01,-3.7923599531535075
RUS,0.01,12.0,7.371613858341803
MEX,0.01,0.01,-10.121877475400709
ZAF,0.01,12.0,7.5834433529742284
ROW,12.0,12.0,7.278568192600048
Negishi,,,0.7316135136641293
Equal,,,6.673535394305134
