,delta_dom,delta_int,welfare
USA,0.01,0.01,-8.31047499083003
EUR,0.01,12.0,6.579215030439656
JAP,0.01,0.01,-8.186782282961175
CHN,0.01,12.0,6.8172819286509
BRA,0.01,12.0,6.420473199573792
IND,0.01,12.0,6.1573343066767166
CAN,0.01,0.01,-4.8504544987610245
KOR,0.01,0.01,-4.995535466858186
RUS,0.01,12.0,6.090032852690939
MEX,0.01,12.0,6.750107057976365
ZAF,0.01,12.0,6.305105228933996
ROW,0.01,12.0,5.651605381877474
Negishi,,,2.5675503071879575
Equal,,,5.793051981914317
