,delta_dom,delta_int,welfare
USA,0.0473849254238293,12.0,0.7370436388870729
EUR,12.0,12.0,1.00495824481996
JAP,12.0,12.0,0.8312164679423546
CHN,12.0,12.0,0.6757059657200131
BRA,12.0,12.0,0.046537014826398604
IND,12.0,12.0,-0.22011201607335806
CAN,12.0,12.0,1.7473675019074335
KOR,12.0,12.0,2.014527910501542
RUS,12.0,12.0,-0.2968241252676478
MEX,12.0,12.0,-0.19218077713625803
ZAF,12.0,12.0,-0.18826575943545265
ROW,12.0,12.0,-0.747000182270213
Negishi,,,0.3551683170071698
Equal,,,-0.29462340447973645
