target,moment
0.0987007902069887,0.12432090814229822
0.0986758262792669,0.08358122454757289
0.0333440632045229,0.03924174233270516
0.000590905839595,0.000796831424561694
0.0026889013226048,0.0034197152610379055
0.0083595443107861,0.020581956643422824
0.041292835552289,0.03191643932970222
0.0005688660476626,0.0007873832667103279
0.000320342260315,0.0010327763973438054
0.0002753191904151,0.0003740075322303799
0.0363408738550814,0.023196705333629077
0.0345428409448873,0.0420912659352754
0.0189414747406842,0.009402240890049022
0.0068546240869946,0.006948393197817192
0.0001518188774164,0.00020017449029716925
0.0006415614141116,0.0007226640062007803
0.0013057154866585,0.0020086955315614346
0.0059184340587468,0.007710982707052887
0.0001899575473711,0.00033570506722729795
7.265245442518995e-05,8.825602492099027e-05
8.748553920307431e-05,0.00012712162336216484
0.0052854239193138,0.006800304166093573
0.0314405247520105,0.030765805838217062
0.0322907660321098,0.02947008326369866
0.0073788066568822,0.0070022334268353146
7.073689159906016e-05,0.00014463448890260586
0.000377937091482,0.00043288274188323827
0.0007512290644542,0.0014418045008564124
0.0078278157348129,0.009115232716926588
0.0001355211817796,0.00017404963509233976
7.181015954493134e-05,6.136693070138812e-05
3.1248527732008785e-05,9.331012606060401e-05
0.0049631635768254,0.0057369998208449385
0.0589502817937011,0.04192219238704263
0.0652004350926818,0.06985407822208445
0.0655046173698328,0.03805216827241127
0.0001980531396321,0.0003921781571472071
0.000451146982849,0.0013541190736156951
0.0015565958617317,0.005708861349119865
0.0227377043120651,0.03191643932970222
0.000278876418076,0.0004941881498039852
7.840616499249868e-05,0.00018603806898852886
9.45994101402596e-05,0.0002899538053207179
0.0171615419422729,0.016686198170815153
0.0130907875456484,0.011841276071799451
0.0146818967970144,0.012349230542046785
0.002858128204875,0.0017942014243321886
0.001233535406488,0.0016798557457835387
0.0002270257314789,0.00018454454773584523
0.0002714552775678,0.0005632282204129112
0.0005087892112979,0.002023494397152077
5.33845681713521e-05,5.17224732166564e-05
6.691026978388132e-05,3.7531227894870025e-05
5.244189707211085e-05,2.523886899304497e-05
0.0011351639003406,0.0017227167566998935
0.0206212297379035,0.01599561620053324
0.0213036061947059,0.022737942319926898
0.009045189664227,0.007768320908516234
0.0031657545480249,0.004483601575894937
0.000109057311017,8.860820144972679e-05
0.000585716511325,0.000835320000784268
0.0029397972918012,0.006714095877721515
0.0001687818143661,0.00011430988512611972
5.9898882945840487e-05,3.5393535044675663e-05
9.497198036189218e-05,6.518620584986318e-05
0.0018591397927277,0.004315842910728446
0.0289301806536184,0.04397051147566642
0.0182201876764858,0.016719538599185572
0.0036677658985339,0.005428428675605532
0.0015469672025568,0.0027623512452726417
0.0001202288550395,7.23389524279261e-05
0.0002982911910677,0.00023071374589503704
0.0006318100583907,0.003097727809359728
0.0001004996620102,5.2333351061707985e-05
9.719485470587604e-05,8.726218057387706e-05
6.29231997226709e-05,3.321118165357454e-05
0.0028203855158343,0.0021463931691983046
0.0198230099046593,0.019312382434573474
0.0204154847347352,0.019373398043203406
0.024433230500494,0.014413758643965083
0.0052457915711747,0.0040786377596641705
1.883575159163034e-05,7.110059991463604e-05
0.0002005559074232,0.00028934809752287593
0.0004649696468023,0.0007440835253157744
0.0001051526342496,0.00011601928183481388
4.583766695751314e-05,4.243384516091296e-05
1.4968893995295664e-05,5.137217881196363e-05
0.0028391094157963,0.0033760731721159116
0.0059495562418271,0.005608947582605254
0.0108381698827524,0.011795849775767602
0.0023899141141099,0.0023707528292604093
0.002046426778962,0.0013874411079678967
2.8666299652261303e-05,3.796714002382537e-05
8.913358905573053e-05,9.57379722205656e-05
0.0001551248055363,0.00027320072291802755
0.0005148752282193,0.0014585113004168422
2.050900603885457e-05,1.2087462416898082e-05
3.066700235377428e-05,1.3417790907927191e-05
0.0013383155618532,0.001385412495526829
0.0124839626508935,0.016759299840360866
0.0085500635847491,0.006619741559730934
0.0022442721554227,0.003346736962917759
0.0011703609109603,0.0012591756028264437
0.000116218176042,3.563469743430682e-05
0.0001626234041948,7.896094943407612e-05
0.000286195785093,0.0006631133964442045
0.0004140902229784,0.001976699503580334
2.0636074185960665e-05,2.0024380601002232e-05
2.8387053648632643e-05,8.587916907518306e-06
0.0007508219769878,0.0008461812781993887
0.0019430943259015,0.0020025119286031846
0.0032828313634821,0.003481817833841389
0.0002112275899227,0.0008096654335404221
0.0004142155329459,0.00041021920571566073
3.925144612036324e-05,1.2409778193120403e-05
0.0001333900758796,5.6008544221719816e-05
7.671138918027597e-05,8.988853546164619e-05
8.457040500610415e-05,0.0004319660947449751
1.9357256803269037e-05,8.126947206861943e-06
7.857515527335313e-06,5.096159883527766e-06
0.0004168962569464,0.00040540069911698353
0.0027066110073536,0.002315691323955935
0.0020683487027468,0.002565678560224392
0.0012037101369887,0.0012509492669409324
0.0004118703988427,0.0003969091103094488
1.996427656742498e-05,1.2184072576929425e-05
4.7041701675208326e-05,4.2192844559463175e-05
9.010231054113236e-05,0.00010298629595250336
0.0002205197170859,0.0006428376200767077
1.450713966788022e-05,1.303300813060152e-05
6.032291676041486e-06,5.290872382074763e-06
1.4779422079711706e-05,8.645403122631821e-06
