,eta_BRA,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ROW
1,0.0811546984023456,0.01,12.0,0.01,12.0,0.01,12.0,8.603408673033089,12.0,12.0,12.0,12.0
2,0.0411363210766485,0.01,9.147284099938362,0.01,6.751908224289802,0.01,7.461078678897131,0.010000279106433918,0.01,10.26370664102465,6.895311545010399,5.706734506725847
3,0.02112713241379995,0.01,0.010000556529636058,0.01,10.849823515516508,0.01,11.999999443470363,0.01,0.010000556529636058,7.212852181649344,4.640081898982448,5.003314567522995
4,0.011122538082375675,0.01,0.01,0.01,8.916220542942973,0.01,9.256560826417015,0.01,0.01,5.617879330948238,3.489988216264125,4.4531448730434455
5,0.0061202409166635375,0.010000089663822171,0.010000628730206415,0.010000628730206415,12.0,2.2662707908657316,9.059169461183048,0.010000628730206415,0.010000628730206415,4.843848374180368,2.8750817112094817,4.471415925541331
6,0.008621389499519606,0.01,0.01,0.01,8.01067603775051,0.01,5.018684706499965,0.01,0.01,3.661244398467444,2.702385111109768,4.6729384482944285
7,0.007370815208091572,0.010000270383888328,0.01,0.010000000138508209,10.117579572592275,0.20023460813124477,3.617479387092995,0.01,0.01,9.71685309310021,5.6462825266035646,3.6991890117832025
8,0.007996102353805589,0.010000580653840383,0.010000580653840383,0.01,9.579107742496836,0.010000580653840383,5.344370458589565,0.01,0.010000580653840383,3.0756987023291837,1.9308163382301442,1.8971435674746382
9,0.007683458780948581,0.01,0.01,0.010000485969417636,11.943390742577236,0.010000330576979192,9.76859845839136,0.01,0.01,5.277955724539467,3.0202579117529957,4.692558655267031
10,0.007527136994520076,0.010000304780689521,0.01000041353362855,0.010000313108668243,9.94609614131518,0.13866235686460926,8.320859649228865,0.010000358828942981,0.010000331005148829,4.59485560196159,2.805346316249314,2.203677913000119
11,0.007448976101305824,0.010000079934487758,0.010000079934487758,0.01,11.99835376432154,0.15910242326053625,6.54160037408843,0.01,0.010000079934487758,3.5830545399660885,2.137767920518422,1.9938389958397147
12,0.007409895654698698,0.01,0.01,0.01,11.999999873562887,0.24493113748165096,8.525741619661815,0.010000380424575921,0.010000380424575921,4.626847634799803,2.722047457409901,2.1273249215430905
13,0.007429435878002261,0.010000229653658765,0.01,0.010000244542243106,10.55184465533712,0.17839699278789142,5.7255095176123465,0.01,0.01000036759938997,3.1591107828956067,1.9742763385664235,5.666070868856761
14,0.007419665766350479,0.01,0.01,0.01,11.999999948731757,0.18570178856224123,12.0,0.010000021197382783,0.01,9.269097580320873,5.400348307623073,2.6178948117505545
