,eta_USA,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ROW
1,0.13436064700359426,0.01,0.01,0.01,9.553251601228483,6.051103080147737,12.0,0.01,0.01,4.390227594868571,0.01,12.0
2,0.0672147596272749,0.01,0.01,0.01,6.354311548327238,6.558334494007224,12.0,0.01,0.01,6.276554620819035,0.01,12.0
3,0.03364181593911522,0.01,0.01,0.01,7.445258110413057,8.57535149168611,11.082495011366065,0.01,0.01,3.1280580269606952,0.01,8.299733923690283
4,0.01685534409503538,0.01,0.01,0.01,4.074663310243084,10.45988860912799,11.686770794320365,0.01,0.01,2.9577923931815127,0.03090592712982655,9.667035568777886
5,0.00846210817299546,0.01,0.01,0.01,12.0,3.5079264323691306,11.999999931583321,0.01,0.01,0.2834474377244517,0.10571706584754137,2.37502723220728
6,0.0042654902119755,0.01,0.01,0.01,0.6898752588571309,11.999999400479567,8.372574012410828,0.01,0.01,0.35743102562083506,0.3903595750773696,7.1714658808086496
7,0.00216718123146552,0.01,0.01,0.01,11.628398311329017,4.96146695157633,7.202940465234226,0.01,0.01,0.4151713891509506,0.23387916234969197,7.448751136719996
8,0.00111802674121053,0.01,0.01,0.01,5.871145575758777,2.1339612083340755,8.630263567396069,0.01,0.01,0.2082795790064337,0.1673730935838914,4.228517098432862
9,0.000593449496083035,0.01,0.01,0.01,4.490105205118485,1.680695933529575,9.618713322380511,0.01,0.01,0.20789703872731125,0.22377024666368023,11.49638555333511
10,0.0003311608735192875,0.01,0.01,0.01,0.5740496391872931,11.999999989730624,8.801033759444962,0.01,0.01,0.2992423338099728,0.25577056695069217,6.461805030112602
11,0.00020001656223741376,0.01,0.01,0.01,7.109434426119449,4.299574430269224,8.442367345456807,0.01,0.01,0.20227378135636168,0.2259637686408394,6.483647739630239
12,0.00013444440659647687,0.01,0.01,0.01,11.658479562469838,11.956280565400736,9.8236530200756,0.01,0.01,0.2785328076539765,0.24294778237664832,5.214311356972314
13,0.00010165832877600843,0.01,0.01,0.01,0.5702218696422257,11.625262926862412,11.669225515125655,0.01,0.01,0.20570745277745883,0.26454383330262116,9.740512506893994
14,8.526528986577421e-05,0.01,0.01,0.01,10.152255423437264,7.718341075581176,9.977134653825562,0.01,0.01,0.27076364419350213,0.2561800760152869,6.365812768405295
15,7.70687704106571e-05,0.01,0.01,0.01,11.499022542853336,8.91604168805748,11.655100563337067,0.01,0.01,0.2168456793382417,0.28827229278781225,9.688358184461327
