,eta_BRA,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ROW
1,0.13436064700359426,0.01,0.01,0.01,10.791388714631106,0.01,12.0,0.01,0.01,4.878887585846559,2.7541909879146815,12.0
2,0.0672147596272749,0.01,0.01,0.01,12.0,0.01,12.0,0.01,0.01,4.476389887753332,0.14758415676550105,11.537813965071594
3,0.03364181593911522,0.01,0.01,0.01,11.623461862932933,0.01,12.0,0.01,0.01,3.517337671438534,0.01,8.371603934147073
4,0.01685534409503538,0.01,0.01,0.01,10.593816816950667,0.01,7.611435124894726,0.01,0.01,5.602545706845307,0.01,8.931737202391398
5,0.00846210817299546,0.01,0.01,0.01,6.202987829223174,0.01,8.71229823351309,0.01,0.01,2.826317966140547,0.01,7.9196945335619215
6,0.0042654902119755,0.01,0.01,0.01,12.0,2.7958167708719195,10.743120953597732,0.01,0.01,2.3487883219079766,0.01,6.62284563880086
7,0.00636379919248548,0.01,0.01,0.01,8.763092671830398,0.01,12.0,0.01,0.01,2.6607411747298637,0.01,7.487454945639254
8,0.005314644702230489,0.01,0.01,0.01,12.0,0.01,12.0,0.01,0.01,2.856883418942715,0.01,8.357850289566365
9,0.004790067457102995,0.01,0.01,0.01,12.0,0.7443656077992008,8.908419263535212,0.01,0.01,3.1178058825578896,0.01,8.680967479066416
10,0.005052356079666742,0.01,0.01,0.01,7.700865248212602,0.1163024308268023,11.955868097761819,0.01,0.01,3.9211237704421995,0.01,10.571151035139163
11,0.004921211768384868,0.01,0.01,0.01,8.743438482098886,0.47299730056569367,12.0,0.01,0.01,2.5838920260217084,0.01,8.564695008073281
12,0.004986783924025805,0.01,0.01,0.01,8.092174495256378,0.1655965806025429,11.994419002642834,0.01,0.01,1.7616956713679939,0.01,5.692686756675859
13,0.004953997846205337,0.01,0.01,0.01,6.789321027213083,0.5137049582304284,10.061005411092676,0.01,0.01,1.8575313541931504,0.01,6.130950242212869
14,0.004970390885115571,0.01,0.01,0.01,7.808196464975394,0.42981775738131184,11.5403102554665,0.01,0.01,1.912596877696579,0.01,6.303861641342887
15,0.004978587404570688,0.01,0.01,0.01,12.0,0.14416088678741282,9.47373591177677,0.01,0.01,4.754033967880594,0.01,12.0
