delt,growth,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW
0.09999999999999896,0.01994564444808633,0.9277005344304566,1.0359010131567838,1.0387772534945636,1.027552272836375,1.0302553975537379,1.0303413632231426,1.0484027769921345,1.043269831030856,1.0324972990432906,1.0274254476201852,1.035988787265483
0.1042753888853768,0.019896090461295698,0.9285821643795991,1.0353097531000375,1.0381462871673919,1.0271149593683153,1.0297821406003609,1.0298658833796028,1.0475678262459958,1.0425501700016535,1.031987148266786,1.0270630096708417,1.035415985877579
0.1087335672719646,0.019845437741967224,0.9294937504649792,1.0347059155472638,1.0375018296742926,1.0266679530042733,1.0292982495680831,1.0293797600431631,1.0467165869494786,1.0418154290494057,1.0314655740942835,1.0266896360088322,1.0348306364710653
0.11338235012178362,0.01979370106824092,0.930435729171709,1.0340897131403113,1.036844103254466,1.0262113848011305,1.0288038580826646,1.028883129539029,1.0458494502501265,1.0410658840190408,1.0309327228389071,1.0263052895315372,1.0342329203675849
0.11822988651686989,0.019741120195406654,0.9314003008851358,1.0334662631188611,1.0361759217986255,1.0257473123105223,1.0283012165971657,1.0283782124235565,1.0449700727697409,1.040304627162397,1.0303911689317429,1.0259114643394815,1.0336255001723904
0.12328467394420634,0.019688112043330847,0.9323726246128551,1.0328446370412507,1.0355021346282896,1.0252793101358293,1.0277942420236414,1.0278688688168023,1.0440846436262585,1.0395369588609085,1.0298454025608534,1.0255109091077987,1.033012987951043
0.12855557319138955,0.01963417337024404,0.9333721949692796,1.0322125412668561,1.0348169701202374,1.0248044330188248,1.0272782378159377,1.027350418021925,1.0431860122233008,1.0387566730083948,1.0292899115523,1.0251001007553913,1.032389881607768
0.13405182387914674,0.01957924542865254,0.934402076120481,1.0315694166826552,1.034119862011744,1.0243210425233689,1.0267526134726954,1.0268223395280673,1.0422735582365168,1.037963182862177,1.0287240979652554,1.0246785571498613,1.0317555388127004
0.13978306065791996,0.01952334196244463,0.9354629099209929,1.0309154762412371,1.0334110501766598,1.0238290584414285,1.026217490043172,1.0262847697027477,1.041347696359212,1.037156793878298,1.0281481006419524,1.0242462745189862,1.0311101347727725
0.14575933009692843,0.01946649504294146,0.9365547300061566,1.030251130793556,1.0326909825737094,1.0233287637589101,1.025673168163435,1.025738012621917,1.0404091060844969,1.036338043067099,1.0275622455312774,1.0238033801530413,1.030454052052643
0.15199110829529283,0.019408740095916567,0.9376774747477217,1.0295768304174633,1.0319601499590565,1.0228204712261704,1.0251199810337235,1.0251824049559697,1.0394585193369226,1.0355075164012384,1.0269668937371157,1.023350035605368,1.0297877119434709
0.15848931924610996,0.019350115883231666,0.9388309802395424,1.0288930640482776,1.0312190855041712,1.0223045232179528,1.024558294298325,1.0246183158336497,1.038496719183092,1.034665848275259,1.026362441404555,1.0228864375189601,1.0291115741898371
0.16526535398566844,0.01929066445961245,0.9400149735363998,1.0282003588123168,1.0304683640905898,1.021781291373555,1.0239885056849503,1.0240461464648376,1.0375245381068825,1.0338137205902467,1.0257493193486473,1.0224128182198218,1.0284261364260063
0.17233109056134957,0.019230431103506675,0.941229066256223,1.0274992790520485,1.029708601268769,1.0212511760074838,1.0234110443925908,1.0234663295113324,1.036542855841833,1.0329518614493678,1.025127992413651,1.0219294460557344,1.027731933309741
0.17969891485325867,0.019169464221280488,0.9424727486621156,1.0267904250352162,1.0289404518722767,1.0207146052835383,1.0228263702199114,1.0228793281978676,1.0355525967593349,1.0320810434548413,1.024498958553827,1.0214366254616736,1.027029535345497
0.1873817422860373,0.019107815224383144,0.9437453843450275,1.026074431344778,1.028164608283198,1.0201720341485827,1.022234972429821,1.0222856351591811,1.034554726818276,1.0312020816022878,1.0238627476306636,1.0209346967364838,1.0263195473932596
0.19539304046896028,0.01904553837950532,0.945046205629995,1.0253519649510472,1.0273817983498519,1.019623943025707,1.0216373683497337,1.0216857710227845,1.0335502500887748,1.0303158307743085,1.0232199199254854,1.02042403551925,1.0256026068638946
0.2037468528039704,0.01898269063219084,0.9463743098285369,1.0246237229726312,1.026592782963252,1.019070836270313,1.021034101711237,1.0210802827313858,1.032540204870399,1.0294231828413702,1.0225710643708554,1.0199050519582282,1.024879381606989
0.21245782310305625,0.018919331404817254,0.9477286564566958,1.0238904301380136,1.025798353304634,1.018513240396723,1.0204257407374069,1.0204697416133595,1.0315256594326268,1.0285250633848098,1.0219167965088853,1.019378189570248,1.0241505675024478
0.22154122125811776,0.018855522370316114,0.9491080655318778,1.0231528359649376,1.0249993277820908,1.0179517020868665,1.019812875990367,1.0198547412140955,1.0305077074129776,1.0276224280633004,1.021257756189425,1.0188439237934426,1.0234168857724213
0.23101297000831467,0.01879132720346898,0.9505112170525069,1.0224117116801408,1.024196548680257,1.0173867859968717,1.0191961179964715,1.0192358949057017,1.0294874629151802,1.0267162586508911,1.0205946050258878,1.0183027602419203,1.02267908003557
0.24088967285182922,0.018726811312050413,0.951936651751846,1.021667846907006,1.0233908785524843,1.0168190723811332,1.0185760946705884,1.0186138332968353,1.0284660553564775,1.0258075587810718,1.0199280236311437,1.0177552326762753,1.0219379131306612
0.2511886431509579,0.018662041550506252,0.953382773201829,1.0209220461535542,1.022583196390264,1.0162491545572996,1.0179534485652877,1.017989201468529,1.027444624118829,1.0248973494372882,1.019258708660398,1.0172019007093795,1.0211941637413897
0.26192793448156276,0.018597085919216765,0.9548478513242075,1.0201751251372182,1.0217743936092,1.015677636238776,1.017328833974247,1.0173626560655298,1.026424313063595,1.023986664235641,1.0185873696918506,1.016643347271964,1.0204486228583716
