country_code,output,expenditure,deficit,gdp,labor,rnd_gdp,price_level
1.0,23011642.194032,23727158.165459,-715515.9714270011,13039199193000.0,198081570.0,0.0251696991920471,1.0
2.0,28714281.832969997,28630336.629656,83945.20331399888,15706002884384.531,386568433.0,0.01697654251148189,1.094913896945854
3.0,8346476.163717001,8325964.517629,20511.646088000387,4831467035389.8,84011699.0,0.0313091993331909,1.17541345258769
4.0,6007446.097584,5857278.575212,150167.52237199992,2285965892360.54,937712257.0,0.0130791997909546,0.346771653959122
5.0,1634746.002232,1605492.929982,29253.07224999997,891630177209.99,124649426.0,0.0100246000289917,0.435719747133782
6.0,1556483.849707,1586001.9649399999,-29518.115232999902,820381595512.902,716911600.0,0.00824109971523285,0.24195291007595504
7.0,2083905.951535,2035816.670649,48089.28088600002,1173108598778.68,22350146.0,0.0197126996517181,1.00152170325136
8.0,1964782.102743,1947823.2345119999,16958.868231000146,934901071332.984,34536910.0,0.0252290010452271,0.770342027427148
9.0,1422868.983694,1321809.6598440001,101059.32384999981,764017107992.391,101892381.0,0.0106797003746033,0.450288180056851
10.0,1491789.873757,1497708.189571,-5918.315813999856,877476221382.101,65666260.0,0.00398440003395081,0.653966544013067
11.0,535925.134009,536764.016221,-838.8822119999677,288868489078.987,31776293.0,0.007702400088310239,0.559121095604972
12.0,10521827.956753999,10220021.589058999,301806.367695,6171300053580.992,1515394163.0,0.013613855234124518,0.4744307218741024
