,tau_out_factor_RUS,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,1.05,0.01,0.010000035122382091,0.01,3.2962751438396767,1.005681753288328,4.126321224125924,0.01,0.01,0.46802401786424225,0.07883993712461876,0.42499888262613134,1.6935067021300358
2,1.525,0.010000021410798489,0.01,0.010000021410798489,3.284043751090567,0.9981584178140555,4.115565722082908,0.010000021410798489,0.010000021410798489,0.5338828122074686,0.07591018221771133,0.4216480282616189,1.6895984789037617
3,1.7625,0.01000005062825359,0.01000005062825359,0.01,3.4113191709868618,1.032124539558249,4.273853326032025,0.01000005062825359,0.01000005062825359,0.5574773188442946,0.06810378956094634,0.4322021137460591,1.698205384503773
4,1.88125,0.01,0.01,0.01,3.2844808717266307,0.9974684176446191,4.118373874564338,0.01,0.01,0.547827135650623,0.07178131786202932,0.42196766665634255,1.6911675197249607
5,1.940625,0.010000019329803647,0.010000003374271335,0.01,3.286756271127608,0.9982271488928454,4.120276026754175,0.01,0.01,0.5480706132951473,0.0735706012155223,0.4217521281573888,1.6899463602651006
6,1.9703125,0.010000151711672317,0.010000151711672317,0.010000151711672317,3.285172499821175,0.9976503964960014,4.117679986846781,0.010000151711672317,0.010000151711672317,0.5496660638871069,0.07016485717051271,0.42273462231900155,1.6929658153182405
7,1.98515625,0.01,0.01,0.01,3.2633984141733747,0.9910734436634173,4.0915705039645776,0.010001627870480269,0.01,0.5460296049272713,0.07344246705661331,0.419557371099492,1.6890381641590106
