,tau_out_factor_IND,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,1.05,0.01,0.01,0.01,2.81076749169118,0.8704784948345387,3.58338904612658,0.01,0.01,0.4126588181299699,0.0850464277940122,0.3822311433025054,1.660006843116043
2,1.525,0.01,0.01,0.01,12.0,4.087484687917897,11.999999175497559,0.010000824502442213,0.01000079177868419,1.2801288511831648,0.064627282177196,1.4723544054634323,2.4433298791213036
3,1.7625,0.01,0.01,0.01,12.0,5.838365766757694,12.0,0.01,0.01,7.1134751503567815,0.05506807472937684,8.63328056946586,8.049942011942592
4,1.88125,0.010000017598061649,0.010000026969573654,0.010000027766074573,12.0,3.7051733499663557,12.0,0.01,0.01,1.2808105831002066,0.048554043295221075,1.4641830268220117,2.539440660479572
5,1.940625,0.01,0.01,0.01,11.64648646549469,12.0,11.9630997976377,0.01,0.01,4.573461450671923,0.04812879827427593,5.488796307004354,5.792001698752756
6,1.9703125,0.010000042217689227,0.010000041819900583,0.010000041731271215,11.99999995819044,3.606097447573748,11.999999957874758,0.01000004116455329,0.010000041315825364,1.2799485508504158,0.04648843377237136,1.4517549343166563,2.536709730023243
7,1.98515625,0.01,0.010000006317945082,0.01,12.0,3.608708844435699,11.999999993682055,0.010000006317945082,0.010000006317945082,1.30493093441648,0.045760172596688665,1.4750877946339616,2.577651008707627
