,Patent,Pharma Chemicals,welfare
USA,12.0,12.0,-0.8689860264321965
EUR,12.0,12.0,-1.3053843278844113
JAP,12.0,12.0,-1.42630976093929
CHN,12.0,12.0,-1.4095138018878686
BRA,12.0,12.0,-1.6987128694241136
IND,12.0,12.0,-1.808204119775823
CAN,12.0,12.0,-0.8483221221307815
KOR,12.0,12.0,-0.897559014895549
RUS,12.0,12.0,-1.913610740747103
MEX,12.0,12.0,-1.7704786733057887
ZAF,12.0,12.0,-1.818537972714438
ROW,12.0,12.0,-2.123907557029696
Negishi,,,-1.4995753941580148
Equal,,,-1.8835810192371412
