,nu,theta,zeta,fe,fo
Patent,0.0826732412747729,6.241243583818028,0.0115735084475799,0.0515991359343996,0.0262157949515403
Pharma Chemicals,0.0911676427670651,3.551173103304071,0.0429320784164224,0.0116155841307423,0.0037818980533879
