,Patent,Pharma Chemicals,welfare
USA,0.01,0.01,6.530123540998687
EUR,0.01,0.01,9.881437598075209
JAP,0.01,0.01,10.28220781574585
CHN,12.0,12.0,17.9171038655155
BRA,12.0,12.0,17.506465951873736
IND,12.0,12.0,17.261974047892778
CAN,0.01,0.01,12.371255578582563
KOR,0.01,0.01,12.778997837356343
RUS,12.0,12.0,17.684712211924264
MEX,12.0,12.0,17.158113677454452
ZAF,12.0,12.0,17.444454890209585
ROW,0.01,12.0,3.4804663827903823
Negishi,,,10.765816427842694
Equal,,,10.002467274211995
