,Non patent,Patent,Pharma Chemicals
USA,41504.90458076772,31171.918275058168,7896.014900050693
EUR,16664.614865647436,10416.549468284047,7292.972023971351
JAP,55388.48664707792,35123.55181915655,0.1091181320654765
CHN,2232.37542954661,1005.1885904473578,12512.30858817804
BRA,1323.0141264318493,1022.7622776253036,358.26028369430503
IND,84.23587114182646,140.76720716030448,326.06213374114355
CAN,23459.141773510455,16848.207687741917,29.80009195209921
KOR,23534.84036184267,16070.47648349922,4293.530785827948
RUS,4191.478444748156,3288.2229065158167,947.7095830153648
MEX,2413.884573462585,1883.339130991553,560.9944687595402
ZAF,1285.489907789337,996.4096467601616,377.9889990149042
ROW,253.35731195169575,214.2836340831346,199.91145518720973
count,12.0,12.0,12.0
mean,14361.318657826523,9848.473093943629,2899.6385359603887
std,18412.827231126557,12466.480590645171,4169.83959700772
min,84.23587114182646,140.76720716030448,0.1091181320654765
25%,1313.6330717712212,1002.9938545255587,294.5244641026601
50%,3302.6815091053704,2585.7810187536847,469.49173388722215
75%,23478.06642059351,16264.909284559893,5043.391095363799
max,55388.48664707792,35123.55181915655,12512.30858817804
