delt,growth,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
0.0,0.016786894880414172,0.9991321686420456,0.9989004601915092,0.9987757356259234,1.0060646928485126,1.0005575807580311,1.0023909080147237,0.9989665364803554,0.9982865110322452,1.0018945184591737,0.9993861676555627,0.9959163336938082,0.9990416464092678
0.0049999999999999,0.016786409679323357,0.9991269322178269,0.9989108099933576,0.998774238976615,1.006059978333746,1.0005519740091628,1.0023871918413243,0.9989606804429463,0.9982917024125861,1.0011204193651453,0.9993821902751728,0.9959114723607625,0.9990465102490276
0.010000000000000002,0.01678593278448801,0.999121607227257,0.9989202224408632,0.998772540078096,1.0060552589884009,1.0005462909837433,1.002383304463068,0.9989547980961092,0.9982964239151079,1.0003661713273826,0.9993781570590041,0.995906568463316,0.9990506087904282
0.015,0.016785464038424028,0.9991162003029653,0.9989287329503916,0.9987706479970515,1.0060505362339296,1.0005405367611035,1.0023792532088176,0.9989488933894597,0.9983006911430561,0.999631306459473,0.999374072001675,0.9959016254269852,0.9990539722296241
0.020000000000000004,0.016785003285891383,0.9991107178399377,0.9989363759917897,0.9987685715294389,1.0060458114524573,1.0005347162921308,1.0023750452764992,0.998942970116945,0.9983045193709723,0.9989153666419388,0.9993699389578655,0.9958966465782837,0.9990566299831051
0.02500000000000001,0.016784550373945703,0.9991051660034622,0.9989431851136407,0.9987663192099616,1.0060410859897035,1.0005288344021794,1.0023706877342113,0.9989370319227445,0.9983079235526408,0.9982179032787493,0.9993657616479491,0.9958916351481342,0.9990586107056763
0.03,0.016784105151983014,0.9990995507366468,0.9989491929668073,0.9987638993208054,1.0060363611574903,1.0005228957936694,1.0023661875210144,0.9989310823068259,0.9983109183282739,0.9975384770671508,0.9993615436632497,0.9958865942749752,0.9990599423071658
0.035,0.016783667471779257,0.9990938777674796,0.9989544313264511,0.9987613198998229,1.0060316382359638,1.00051690504842,1.0023615514474515,0.9989251246301554,0.9983135180308969,0.9968766577800718,0.9993572884709704,0.9958815270075625,0.9990606519680042
0.0399999999999999,0.01678323718752396,0.9990881526155206,0.9989589311125665,0.9987585887481023,1.0060269184755237,1.000510866629707,1.0023567861958314,0.9989191621195846,0.9983157366920689,0.9962320240602232,0.9993529994187292,0.9958764363075309,0.9990607661537542
0.045,0.01678281415584711,0.999082380598201,0.9989627224092821,0.9987557134370572,1.0060222030984356,1.000504784884118,1.0023518983202984,0.998913197872438,0.9983175880469629,0.995604163225201,0.9993486797388322,0.9958713250516965,0.9990603106287156
0.05,0.016782398235842075,0.9990765668368021,0.998965834482953,0.9987527013149798,1.006017493300234,1.0004986640432003,1.0023468942467095,0.9989072348608372,0.998319085538927,0.9949926710827594,0.9993443325522217,0.9958661960341599,0.9990593104687047
0.05500000000000001,0.016781989289082234,0.9990707162621214,0.9989682957992289,0.9987495595132024,1.006012790250867,1.0004925082249287,1.0023417802724042,0.9989012759357758,0.998320242323501,0.9943971517556338,0.9993399608721808,0.9958610519681812,0.9990577900731262
0.06,0.016781587179632736,0.9990648336198575,0.9989701340391572,0.9987462949517973,1.0060080950956296,1.0004863214350428,1.00233656256584,0.9988953238309426,0.9983210712720053,0.9938172175151239,0.9993355676077614,0.9958558954879264,0.999055773176383
0.065,0.01678119177405719,0.9990589234757294,0.9989713761144853,0.9987429143449561,1.0060034089558991,1.0004801075682361,1.0023312471661325,0.9988893811663526,0.9983215849747744,0.9932524886228085,0.9993311555670125,0.9958507291499897,0.9990532828587606
0.07,0.016780802941419905,0.9990529902203635,0.9989720481822116,0.9987394242059886,1.0059987329297122,1.0004738704092548,1.0023258399825519,0.9988834504517726,0.9983217957440306,0.9927025931797674,0.9993267274599552,0.995845555434827,0.9990503415568326
