,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
0,0.5,-0.000587241637256065,-0.0004963441384282698,-0.00054370731361848,-0.0004159993866503895,-0.00041962432572704213,-0.0004279240905826047,-0.0005235187950509118,-0.0005915769607751535,-0.0004635281853879679,0.025185553087560274,-0.0004647396196292514,-0.00026015337747792956,6.458163569535075e-05
1,0.52,-0.0006008134120960218,-0.0005105074453287449,-0.0005578250165769364,-0.00043104310709120254,-0.00043464339675087116,-0.00044432128666626426,-0.0005366075935320918,-0.0006066364516379583,-0.0004788171065757836,0.02531372428460304,-0.0004798121247209747,-0.00027260968831747424,5.4328514362953725e-05
2,0.54,-0.0006126884519133351,-0.0005237696905581822,-0.0005736607441458816,-0.0004455096984265646,-0.0004492027169007082,-0.00045825894152407525,-0.000549673307740101,-0.0006200025532635792,-0.0004942059522686436,0.02542948365711356,-0.0004953831094730062,-0.0002874802550386566,4.337969144823913e-05
3,0.56,-0.0006255021620351081,-0.0005391616374343546,-0.0005866209388471262,-0.0004609253177154997,-0.00046576412824128946,-0.00047365019546575425,-0.0005626530408792704,-0.0006345144204515622,-0.0005091509424982465,0.025536975435302013,-0.0005106892877757304,-0.00030091748005340864,3.238688111581367e-05
4,0.58,-0.0006387644319136235,-0.0005524547827770269,-0.0006029626604616097,-0.00047431817618163384,-0.00047972778952288934,-0.0004896160868736677,-0.0005751814328384286,-0.0006481532604932525,-0.0005237189470170552,0.025636118597988002,-0.0005252707924831779,-0.0003154627865002194,2.1110110014990115e-05
5,0.6,-0.0006520806568805246,-0.0005666595487487249,-0.0006167263908923708,-0.0004893342872337645,-0.0004958817686018471,-0.0005039742520481206,-0.0005892219321727103,-0.0006611098843711878,-0.0005383369339095882,0.025730338978148713,-0.0005412307433180143,-0.00033020359960314025,9.397645201315836e-06
6,0.62,-0.0006647164175599885,-0.000580652511294917,-0.0006304390312905451,-0.0005034020022010249,-0.0005102634177132049,-0.0005188657667083364,-0.0006024195842753331,-0.0006753100919099565,-0.0005544426070426844,0.02581773591462926,-0.000555343780627316,-0.00034440106896348595,-2.3715768021199545e-06
7,0.64,-0.0006774083221562793,-0.0005946353520289502,-0.0006455195623448265,-0.0005181611422566363,-0.0005255110838989817,-0.0005348726668696413,-0.0006155153393171273,-0.0006892405566946696,-0.0005682544166865307,0.025900890486479398,-0.0005705437860532158,-0.00035829320612683796,-1.333571614058223e-05
8,0.66,-0.0006912680218109558,-0.0006088845772375475,-0.0006601797241003741,-0.0005326272620633688,-0.0005402343607083406,-0.0005483913828500658,-0.0006288831660392228,-0.0007034228747655623,-0.0005835569544802417,0.02598184887778045,-0.0005861639522534294,-0.0003728357842258011,-2.6755671304261783e-05
9,0.6799999999999999,-0.0007043218029111984,-0.0006234597540085096,-0.0006742152585098585,-0.0005475658246463652,-0.0005554517738554996,-0.0005637503743932187,-0.0006421843352621148,-0.0007176277609802086,-0.0005986051826030339,0.026058727516210432,-0.0006006888760919269,-0.00038736637178319314,-3.8267235720553934e-05
