country_code,country,fee
1,USA,12957.809080733612
2,EUR,24379.069312754662
3,JAP,23243.326114251875
4,CHN,14293.955104341287
5,BRA,21510.357620259863
6,IND,11649.73653973439
7,ROW,95047.43134510632
