country_code,country,fee
1,USA,19858.56560346839
2,EUR,37768.88704021501
3,JAP,35621.69450150197
4,CHN,21906.28395618579
5,BRA,32965.82356589347
6,IND,17853.871429655323
7,ROW,145665.49322094882
