country_code,output,expenditure,deficit,gdp,labor,price_level,rnd_gdp
1,29681415.584005,30231829.422895998,-550413.8388909996,0.0,210407309.0,,
2,37654790.538838,37370443.210310996,284347.3285270035,9.0,395473848.0,,
3,9546286.955991,9686117.761574,-139830.80558300018,0.0,78399486.0,,
4,26231180.086721,26044922.297905,186257.78881599754,0.0,986335930.0,,
5,4222948.588414,4285020.349536,-62071.76112199947,0.0,139643831.0,,
6,3805348.1870770007,3897451.6942770006,-92103.50719999988,0.0,840060464.0,,
7,3249039.808896,3288560.288817,-39520.47992100008,0.0,24036987.0,,
8,3300868.713999,3240905.509142,59963.204856999684,0.0,36917181.0,,
9,3859299.634277,3756824.6085389997,102475.0257380004,0.0,101767192.0,,
10,2945127.431893,2972097.915763,-26970.483870000113,0.0,15420332.0,,
11,2164317.673613,2178015.525864,-13697.852250999771,0.0,76021956.0,,
12,1717745.900151,1730820.363874,-13074.463723000139,0.0,168784459.0,,
13,21664713.612676002,21360073.768053003,304639.84462299943,77606228872405.0,1647578388.0,,
