,delta_dom,delta_int,welfare
USA,0.01,0.01,1.6695154962891792
EUR,0.01,0.01,2.213268242538021
JAP,0.01,0.01,3.084397039696512
CHN,0.01,11.84987906681871,9.957008395459837
BRA,0.01,11.986962601382022,9.717297572718792
IND,2.891308982281154,11.999999985085145,9.234174480696282
CAN,0.01,0.01,3.3569481339194027
KOR,0.01,0.01,3.3676402117660302
RUS,0.01,12.0,9.63485949533191
MEX,0.01,3.161733953632052,9.354872010333779
ZAF,0.01,12.0,9.524868016377582
ROW,0.01,11.590701036574488,8.855902798178832
Negishi,,,6.212060231706289
Equal,,,8.88139817595453
