,delta_dom,delta_int,welfare
USA,0.01,0.01,-0.15142905874830603
EUR,0.01,7.757506178427781,7.9886942830079875
JAP,0.01,0.01,1.2081257236832954
CHN,0.01,11.999999968806195,8.03894745334533
BRA,0.01,12.0,7.860256287179766
IND,0.01,11.861689605630222,7.358425229438126
CAN,0.01,0.01,1.5008060209683833
KOR,0.01,0.01,1.1127623765770096
RUS,0.01,11.999999976481323,7.776480383221013
MEX,0.01,7.64657370406203,7.492711740450147
ZAF,0.01,5.7586816697210494,7.647712947872918
ROW,0.01,7.255084983955053,6.986901089584478
Negishi,,,5.803549375173162
Equal,,,7.1972777708068065
