origin_code,destination_code,patent flows
1.0,1.0,196800.8351318858
1.0,2.0,14661.537688207489
1.0,3.0,17014.25538464302
1.0,4.0,19508.22531677666
1.0,5.0,6158.392186108413
1.0,6.0,59.56000650231199
1.0,7.0,14240.421570679557
1.0,8.0,9260.284004638814
1.0,9.0,3206.6200545230136
1.0,10.0,9049.25347189179
1.0,11.0,5469.933425941831
1.0,12.0,0.0555555555555555
1.0,13.0,717.0683032021079
2.0,1.0,45413.32970862796
2.0,2.0,38628.47039576357
2.0,3.0,18242.313569296315
2.0,4.0,22941.99411344037
2.0,5.0,7944.235514441872
2.0,6.0,44.83614672697742
2.0,7.0,10264.835954836555
2.0,8.0,8791.104403458108
2.0,9.0,6890.259632494543
2.0,10.0,6876.079881676911
2.0,11.0,4040.299221767121
2.0,12.0,0.0555555555555555
2.0,13.0,693.5533475096479
3.0,1.0,51741.93179140599
3.0,2.0,9425.017184601978
3.0,3.0,318357.81323369505
3.0,4.0,27522.55218057615
3.0,5.0,1476.5085037020983
3.0,6.0,6.0
3.0,7.0,1974.8365837779784
3.0,8.0,14645.0228313513
3.0,9.0,1325.5634929019186
3.0,10.0,1700.6798623786544
3.0,11.0,570.7186032608162
3.0,12.0,0.0555555555555555
3.0,13.0,605.6335052930448
4.0,1.0,5209.4845752137535
4.0,2.0,1066.2049848857887
4.0,3.0,1000.6478328526538
4.0,4.0,135508.83317077256
4.0,5.0,239.04724031259155
4.0,6.0,2.1547619047619047
4.0,7.0,285.2720938263674
4.0,8.0,650.5474845288325
4.0,9.0,252.8442038652148
4.0,10.0,264.57115884181314
4.0,11.0,74.09962447151288
4.0,12.0,0.0555555555555555
4.0,13.0,41.869005618806064
5.0,1.0,318.649260990042
5.0,2.0,107.8154709469114
5.0,3.0,64.89654709249005
5.0,4.0,94.23195575444248
5.0,5.0,3961.1313209622353
5.0,6.0,1.1111111111111114
5.0,7.0,60.9767563785272
5.0,8.0,42.76318585431858
5.0,9.0,17.90364430654015
5.0,10.0,43.80363607507941
5.0,11.0,62.95752091630997
5.0,12.0,0.0555555555555555
5.0,13.0,8.16682945128068
6.0,1.0,1330.795695097284
6.0,2.0,232.4894071060148
6.0,3.0,181.10041229156377
6.0,4.0,213.98427290580264
6.0,5.0,117.91307128576832
6.0,6.0,1572.0814479638009
6.0,7.0,141.6035950550735
6.0,8.0,129.95962158416108
6.0,9.0,50.3072440420343
6.0,10.0,123.7682909044896
6.0,11.0,65.08549167843125
6.0,12.0,0.0555555555555555
6.0,13.0,12.982196652248287
7.0,1.0,5385.448554205391
7.0,2.0,961.5417218636136
7.0,3.0,678.0085939498305
7.0,4.0,914.9497193876176
7.0,5.0,266.93572701217954
7.0,6.0,4.945652173913043
7.0,7.0,3923.057460814567
7.0,8.0,418.9299089839473
7.0,9.0,154.95318884869965
7.0,10.0,548.0838515587402
7.0,11.0,272.8587081569075
7.0,12.0,0.0555555555555555
7.0,13.0,31.669714900578946
8.0,1.0,15013.650991903844
8.0,2.0,2096.887113896616
8.0,3.0,4459.24672747194
8.0,4.0,6629.79649934552
8.0,5.0,266.5499153356911
8.0,6.0,2.3855218855218845
8.0,7.0,401.0632618544609
8.0,8.0,102681.70233467908
8.0,9.0,401.2848962824445
8.0,10.0,348.9305308133514
8.0,11.0,203.38283063806284
8.0,12.0,0.0555555555555555
8.0,13.0,86.0894563731772
9.0,1.0,302.02188179757155
9.0,2.0,105.9306714702381
9.0,3.0,58.886694186139096
9.0,4.0,106.45521438733836
9.0,5.0,21.505544270466203
9.0,6.0,0.0555555555555555
9.0,7.0,53.56386912735496
9.0,8.0,49.60665912394171
9.0,9.0,25996.195237593543
9.0,10.0,31.673535810860663
9.0,11.0,11.211417100747598
9.0,12.0,0.0555555555555555
9.0,13.0,7.3076146173809695
10.0,1.0,1486.6625794481206
10.0,2.0,414.0051417342928
10.0,3.0,350.1920448642046
10.0,4.0,492.0563200457507
10.0,5.0,121.36120498730752
10.0,6.0,1.9999999999999991
10.0,7.0,429.359123043182
10.0,8.0,154.12438657960325
10.0,9.0,74.54829383123104
10.0,10.0,5783.672695196765
10.0,11.0,93.48757413221551
10.0,12.0,0.0555555555555555
10.0,13.0,24.34157104764717
11.0,1.0,157.9768741933032
11.0,2.0,32.30639192827896
11.0,3.0,18.40358786735961
11.0,4.0,27.431693418499226
11.0,5.0,49.42566888747471
11.0,6.0,1.0
11.0,7.0,47.84327730425866
11.0,8.0,13.009947108574108
11.0,9.0,9.31600245673472
11.0,10.0,10.461403138275228
11.0,11.0,555.4849580672083
11.0,12.0,0.0555555555555555
11.0,13.0,2.967934451111481
12.0,1.0,7.560804731044669
12.0,2.0,2.023052117329001
12.0,3.0,1.7576195390436875
12.0,4.0,6.896649768360295
12.0,5.0,0.5702086656034024
12.0,6.0,0.1363636363636363
12.0,7.0,1.281119465329991
12.0,8.0,1.0555555555555556
12.0,9.0,0.0555555555555555
12.0,10.0,1.850468137813339
12.0,11.0,1.3157894736842102
12.0,12.0,13.0
12.0,13.0,0.2335976925065689
13.0,1.0,18762.65215049963
13.0,2.0,1778.870437950408
13.0,3.0,2039.4777522509075
13.0,4.0,3825.592893421607
13.0,5.0,468.423894028271
13.0,6.0,5.788988095238097
13.0,7.0,933.885333836814
13.0,8.0,1048.8896765539412
13.0,9.0,832.1485532984992
13.0,10.0,1110.1712135754246
13.0,11.0,283.1648343951248
13.0,12.0,0.0555555555555555
13.0,13.0,1468.1193185604252
