country_code,country,fee
1,USA,16558.74683170417
2,EUR,30814.514153489577
3,JAP,29702.57936774948
4,CHN,18266.203979533606
5,BRA,27488.023930133117
6,IND,14887.164706287966
7,ROW,121460.83823595694
